3 Suits,4,5,0
3 Suits,5,3,0
4 Suits,2,2,0
4 Suits,5,1,0
6 Suits,2,2,0
6 Suits,6,1,0
Alternating Clues (5 Suits),3,1,0
Black & White (6 Suits),4,1,0
Black & White (6 Suits),6,1,0
Black (5 Suits),3,5,0
Black (5 Suits),4,8,0
Black (5 Suits),5,2,0
Black (6 Suits),3,5,0
Black (6 Suits),4,3,0
Black (6 Suits),5,1,0
Brown (6 Suits),6,1,0
Brown-Ones (5 Suits),4,2,0
Brown-Ones (5 Suits),5,2,0
Dark Prism (5 Suits),4,1,0
Dark Rainbow (6 Suits),6,1,0
Dual-Color (5 Suits),4,3,0
Gray (5 Suits),3,3,0
Pink (6 Suits),4,2,0
Prism (5 Suits),6,1,0
Prism (6 Suits),5,1,0
Rainbow & Prism (5 Suits),5,3,0
Rainbow & White (5 Suits),5,1,0
Rainbow (4 Suits),4,2,0
Rainbow (5 Suits),3,4,0
Rainbow (5 Suits),6,3,0
Rainbow (6 Suits),3,4,0
Rainbow-Ones & Prism (6 Suits),5,3,0
Reversed (6 Suits),5,1,0
Totally Blind (6 Suits),4,1,0
Up or Down (5 Suits),3,2,0
White & Prism (5 Suits),6,1,0
White & Prism (6 Suits),4,1,0
White & Prism (6 Suits),5,2,0
White (3 Suits),5,1,0
White (4 Suits),5,1,0
White (5 Suits),6,2,0
White (6 Suits),3,3,0
White (6 Suits),4,2,0
White-Fives (5 Suits),5,1,0
White-Ones & White (5 Suits),4,2,0
White-Ones & White (6 Suits),5,1,0
White-Ones (5 Suits),6,1,0
White-Ones (6 Suits),5,1,0
