4 Suits,5,1,0
Black & Dark Rainbow (6 Suits),3,7,0
Black & Dark Rainbow (6 Suits),5,26,0
Black & Omni (5 Suits),3,2,0
Black & Rainbow (6 Suits),4,3,0
Black (5 Suits),3,5,0
Black (5 Suits),5,1,0
Black (6 Suits),6,1,0
Brown (6 Suits),5,1,0
Brown (6 Suits),6,1,0
Color Blind (6 Suits),3,1,0
Dark Rainbow (6 Suits),5,4,0
Dual-Color & Rainbow (6 Suits),5,1,0
Dual-Color (6 Suits),5,1,0
No Variant,6,4,0
Pink (5 Suits),5,1,0
Pink (6 Suits),4,1,0
Pink-Fives (5 Suits),3,1,0
Rainbow & White (6 Suits),5,1,0
Very Ambiguous (6 Suits),3,2,0
Very Ambiguous (6 Suits),5,1,0
White (6 Suits),4,2,0
