3 Suits,2,2,1,1,1
3 Suits,3,1,1,2,1
3 Suits,4,1,1,2,1
4 Suits,4,2,1,1,1
6 Suits,3,6,1,5,1
6 Suits,4,2,1,4,1
6 Suits,6,5,1,4,1
Black (5 Suits),3,8,1,13,1
Brown (4 Suits),3,1,1,1,1
Brown (5 Suits),5,1,1,2,1
No Variant,3,3,1,3,1
No Variant,4,4,1,10,1
No Variant,5,6,1,6,1
Omni (6 Suits),3,1,1,1,1
Pink (5 Suits),3,3,1,1,1
Pink (5 Suits),4,1,1,1,1
Pink (5 Suits),5,2,1,1,1
Prism (4 Suits),4,1,1,1,1
Prism (5 Suits),4,1,1,1,1
Prism (6 Suits),3,12,1,6,1
Prism (6 Suits),4,8,1,1,1
Rainbow (3 Suits),4,6,1,1,1
Rainbow (4 Suits),3,4,1,2,1
Rainbow (4 Suits),4,6,1,3,1
Rainbow (5 Suits),2,2,1,4,1
White (5 Suits),3,1,1,1,1
White (6 Suits),3,7,1,3,1
White (6 Suits),4,5,1,3,1
