4 Suits,4,1,1,1,1
Ambiguous (6 Suits),3,3,1,3,1
Ambiguous (6 Suits),5,11,1,5,1
Black (5 Suits),3,3,1,15,1
Brown (4 Suits),4,3,1,2,1
Brown (6 Suits),4,5,1,2,1
Gray (6 Suits),4,1,1,9,1
Muddy Rainbow (5 Suits),3,1,1,1,1
Muddy-Rainbow-Ones & Rainbow (3 Suits),4,1,1,1,1
No Variant,2,1,1,9,1
No Variant,3,10,1,9,1
No Variant,4,9,1,6,1
No Variant,5,1,1,6,1
Omni (5 Suits),5,2,1,2,1
Pink (4 Suits),3,3,1,2,1
Pink (6 Suits),5,4,1,1,1
Prism (5 Suits),3,3,1,2,1
Rainbow & Brown (6 Suits),6,2,1,2,1
Rainbow (4 Suits),4,3,1,4,1
Rainbow (5 Suits),3,3,1,4,1
Rainbow (6 Suits),4,1,1,2,1
Rainbow (6 Suits),5,1,1,4,1
White (5 Suits),3,1,1,2,1
White (6 Suits),5,1,1,1,1
