3 Suits,4,4,1,4,1
4 Suits,3,9,1,1,1
6 Suits,2,20,1,68,1
6 Suits,3,15,1,1,1
6 Suits,4,5,1,3,1
Brown (5 Suits),5,2,1,5,1
No Variant,2,19,1,1,1
No Variant,3,7,1,3,1
No Variant,4,1,1,2,1
No Variant,5,9,1,3,1
No Variant,6,1,1,9,1
Pink (4 Suits),4,3,1,2,1
Rainbow (5 Suits),3,2,1,4,1
Rainbow (5 Suits),4,1,1,7,1
Rainbow (6 Suits),3,1,1,4,1
Rainbow-Ones (5 Suits),4,3,1,3,1
Up or Down (5 Suits),3,2,1,12,1
White & Brown (6 Suits),4,1,1,2,1
White (5 Suits),3,1,1,3,1
White (6 Suits),4,4,1,2,1
