3 Suits,2,2,1,2,1
4 Suits,2,1,1,3,1
6 Suits,3,1,1,4,1
Ambiguous (4 Suits),2,1,1,1,1
Black (5 Suits),2,2,1,5,1
Dark Rainbow (5 Suits),2,4,1,1,1
Gray (5 Suits),2,7,1,4,1
Gray Pink (5 Suits),2,23,1,4,1
Light Pink (3 Suits),2,10,1,1,1
Light Pink (4 Suits),4,1,1,3,1
Muddy Rainbow (4 Suits),2,7,1,1,1
Muddy Rainbow (5 Suits),2,10,1,2,1
No Variant,2,1,1,17,1
No Variant,3,10,1,3,1
Prism (3 Suits),2,3,1,5,1
Prism (4 Suits),2,1,1,4,1
Rainbow (3 Suits),2,1,1,2,1
Rainbow (5 Suits),3,1,1,2,1
White (4 Suits),3,3,1,2,1
