3 Suits,2,2,1,3,1
3 Suits,3,5,1,3,1
4 Suits,3,1,1,1,1
Black (5 Suits),3,5,1,1,1
Brown (4 Suits),4,2,1,2,1
Brown (6 Suits),2,1,1,4,1
Dark Omni (5 Suits),3,7,1,1,1
Dark Pink (5 Suits),3,5,1,1,1
Dark Rainbow (5 Suits),4,11,1,1,1
Light Pink (5 Suits),3,1,1,1,1
Muddy Rainbow (5 Suits),4,4,1,2,1
Muddy Rainbow (6 Suits),4,1,1,1,1
No Variant,3,1,1,2,1
No Variant,4,1,1,1,1
No Variant,5,3,1,4,1
Pink (5 Suits),4,4,1,1,1
Pink (6 Suits),2,2,1,5,1
Prism (5 Suits),3,1,1,1,1
Rainbow & Pink (5 Suits),2,2,1,3,1
Rainbow & Pink (5 Suits),6,1,1,4,1
Rainbow (3 Suits),2,1,1,1,1
Rainbow (4 Suits),4,2,1,1,1
Rainbow (5 Suits),2,3,1,2,1
Rainbow (5 Suits),4,4,1,4,1
Reversed (5 Suits),4,7,1,1,1
Throw It in a Hole (4 Suits),2,2,1,5,1
Up or Down & White (5 Suits),3,4,1,1,1
Up or Down (5 Suits),2,3,1,5,1
White (5 Suits),3,1,1,3,1
White (5 Suits),4,1,1,1,1
White (6 Suits),3,4,1,2,1
