3 Suits,4,3,1,1,1
Black (5 Suits),2,4,1,1,1
Brown (5 Suits),4,9,1,5,1
Brown (6 Suits),4,2,1,1,1
Dark Pink (6 Suits),5,10,1,2,1
Light Pink (5 Suits),4,2,1,1,1
No Variant,4,1,1,1,1
Null (5 Suits),3,13,1,3,1
Pink (5 Suits),3,1,1,5,1
Prism (5 Suits),4,1,1,2,1
Rainbow & White (6 Suits),4,6,1,2,1
Rainbow & White (6 Suits),5,2,1,2,1
Reversed (3 Suits),2,1,1,1,1
Reversed (4 Suits),2,4,1,2,1
Up or Down & Brown (5 Suits),2,1,1,2,1
Up or Down & Light Pink (6 Suits),3,1,1,1,1
Up or Down & Omni (5 Suits),3,2,1,4,1
Up or Down & Prism (5 Suits),2,2,1,3,1
