3 Suits,4,7,1,4,1
4 Suits,3,1,1,1,1
4 Suits,4,1,1,5,1
6 Suits,3,1,1,1,1
6 Suits,4,3,1,3,1
6 Suits,5,6,1,2,1
6 Suits,6,2,1,6,1
Black & Rainbow (5 Suits),6,1,1,1,1
Black & White (5 Suits),3,4,1,1,1
Black (6 Suits),3,2,1,2,1
Black (6 Suits),4,3,1,151,1
Black (6 Suits),5,18,1,2,1
Brown (3 Suits),4,5,1,3,1
Brown (5 Suits),3,1,1,4,1
Dark Rainbow (6 Suits),4,4,1,1,1
Dark Rainbow (6 Suits),5,8,1,24,1
Dual-Color & Rainbow (6 Suits),3,2,1,1,1
Duck (3 Suits),3,3,1,1,1
No Variant,3,1,1,3,1
No Variant,4,2,1,2,1
No Variant,5,3,1,3,1
No Variant,6,4,1,9,1
Pink (3 Suits),3,12,1,10,1
Pink (4 Suits),3,1,1,4,1
Pink (4 Suits),4,2,1,2,1
Rainbow (4 Suits),3,3,1,7,1
Rainbow (5 Suits),3,1,1,4,1
Rainbow (5 Suits),4,7,1,7,1
Rainbow (5 Suits),5,6,1,4,1
Rainbow (6 Suits),2,2,1,55,1
Rainbow (6 Suits),3,1,1,4,1
Rainbow (6 Suits),4,4,1,1,1
Rainbow (6 Suits),5,9,1,51,1
Special Mix (5 Suits),4,2,1,1,1
Throw It in a Hole (4 Suits),4,1,1,1,1
Throw It in a Hole (5 Suits),4,1,1,1,1
Up or Down & Pink (5 Suits),3,2,1,2,1
Up or Down & Rainbow (5 Suits),3,1,1,2,1
Up or Down (5 Suits),4,3,1,4,1
White & Brown (6 Suits),4,1,1,2,1
White (6 Suits),4,4,1,2,1
White (6 Suits),6,1,1,1,1
