3 Suits,4,7,1,1,1
4 Suits,3,1,1,1,1
6 Suits,6,2,1,3,1
Black (6 Suits),4,3,1,1,1
Brown (4 Suits),3,1,1,5,1
Brown (6 Suits),5,1,1,1,1
Dual-Color (3 Suits),3,1,1,1,1
Duck (3 Suits),3,3,1,2,1
Gray (5 Suits),3,2,1,3,1
No Variant,3,1,1,1,1
No Variant,4,2,1,1,1
No Variant,5,3,1,1,1
No Variant,6,4,1,6,1
Pink & Brown (4 Suits),3,1,1,1,1
Pink (3 Suits),3,12,1,1,1
Pink (5 Suits),5,4,1,1,1
Rainbow (3 Suits),2,2,1,7,1
Rainbow (3 Suits),3,2,1,8,1
Rainbow (4 Suits),3,3,1,5,1
Rainbow (5 Suits),5,6,1,1,1
Rainbow (6 Suits),2,2,1,4,1
Rainbow (6 Suits),4,4,1,5,1
Rainbow (6 Suits),5,9,1,1,1
White (3 Suits),4,2,1,1,1
