6 Suits,4,3,1,1,1
6 Suits,5,6,1,2,1
6 Suits,6,2,1,3,1
Dual-Color (6 Suits),4,1,1,10,1
Gray (6 Suits),4,8,1,3,1
No Variant,3,1,1,3,1
No Variant,4,2,1,1,1
No Variant,5,3,1,1,1
No Variant,6,4,1,2,1
Pink (4 Suits),4,2,1,1,1
Rainbow & Brown (4 Suits),2,8,1,4,1
Rainbow (3 Suits),2,2,1,1,1
Rainbow (3 Suits),3,2,1,1,1
Rainbow (4 Suits),4,4,1,3,1
Rainbow (5 Suits),3,1,1,2,1
Rainbow (6 Suits),2,2,1,1,1
Rainbow (6 Suits),4,4,1,4,1
Rainbow (6 Suits),5,9,1,8,1
Rainbow (6 Suits),6,4,1,1,1
Up or Down (5 Suits),4,3,1,2,1
White (6 Suits),4,4,1,7,1
