3 Suits,3,3,1,1,1
3 Suits,4,4,1,4,1
4 Suits,3,1,1,2,1
6 Suits,2,68,1,5,1
6 Suits,3,1,1,7,1
6 Suits,4,3,1,1,1
6 Suits,6,6,1,2,1
Black (5 Suits),3,7,1,4,1
Black (6 Suits),4,151,1,7,1
Brown (5 Suits),3,4,1,2,1
Brown (5 Suits),4,1,1,1,1
Brown (5 Suits),5,5,1,2,1
Brown (5 Suits),6,1,1,1,1
Muddy Rainbow (4 Suits),3,1,1,4,1
No Variant,2,1,1,8,1
No Variant,3,3,1,2,1
No Variant,4,2,1,4,1
No Variant,5,3,1,9,1
No Variant,6,9,1,4,1
Pink (4 Suits),3,4,1,1,1
Rainbow (4 Suits),3,7,1,3,1
Rainbow (5 Suits),3,4,1,2,1
Rainbow (5 Suits),4,7,1,1,1
Rainbow (6 Suits),2,55,1,3,1
Rainbow (6 Suits),3,4,1,2,1
Throw It in a Hole (5 Suits),4,1,1,2,1
Throw It in a Hole (6 Suits),4,4,1,2,1
White (4 Suits),3,1,1,3,1
White (5 Suits),3,3,1,1,1
White (5 Suits),6,2,1,1,1
