3 Suits,2,3,1,1,1
4 Suits,3,1,1,1,1
Black (5 Suits),3,1,1,3,1
Brown (6 Suits),2,4,1,2,1
Dark Brown (5 Suits),4,3,1,6,1
Dark Omni (5 Suits),3,1,1,1,1
Muddy Rainbow (3 Suits),4,1,1,1,1
Muddy Rainbow (6 Suits),4,1,1,1,1
No Variant,3,2,1,1,1
No Variant,4,1,1,2,1
No Variant,5,4,1,1,1
Omni (6 Suits),2,1,1,1,1
Pink (5 Suits),4,1,1,2,1
Rainbow (3 Suits),2,1,1,1,1
Rainbow (4 Suits),4,1,1,1,1
Rainbow (5 Suits),4,4,1,2,1
Reversed (5 Suits),4,1,1,3,1
Up or Down & White (5 Suits),3,1,1,4,1
White (5 Suits),3,3,1,1,1
White (5 Suits),4,1,1,1,1
