3 Suits,3,1,1,2,1
3 Suits,4,9,1,4,1
4 Suits,3,1,1,1,1
4 Suits,5,4,1,9,1
6 Suits,3,11,1,1,1
6 Suits,5,1,1,2,1
Black (5 Suits),2,1,1,3,1
Black (5 Suits),3,6,1,3,1
Black (6 Suits),3,7,1,7,1
Cocoa Rainbow (5 Suits),3,14,1,1,1
Dark Pink (5 Suits),3,2,1,5,1
No Variant,3,1,1,1,1
No Variant,4,5,1,1,1
No Variant,5,4,1,6,1
No Variant,6,3,1,1,1
Omni (5 Suits),3,3,1,2,1
Pink & Brown (5 Suits),4,1,1,1,1
Pink (5 Suits),4,3,1,1,1
Rainbow & Dark Brown (5 Suits),4,1,1,1,1
Rainbow & White (5 Suits),4,6,1,3,1
Rainbow & White (5 Suits),5,1,1,1,1
Rainbow (5 Suits),2,2,1,3,1
Rainbow (5 Suits),3,8,1,3,1
Rainbow (5 Suits),5,12,1,2,1
Rainbow (6 Suits),4,6,1,1,1
Reversed (5 Suits),4,3,1,1,1
Up or Down (5 Suits),3,7,1,13,1
White & Brown (6 Suits),3,3,1,5,1
White (5 Suits),2,1,1,1,1
White (5 Suits),3,6,1,2,1
White (5 Suits),4,2,1,2,1
White (5 Suits),5,2,1,2,1
White (5 Suits),6,1,1,2,1
White-Ones & Rainbow (5 Suits),4,4,1,1,1
