3 Suits,3,1,1,4,1
6 Suits,3,3,1,4,1
Ambiguous (6 Suits),3,1,1,1,1
Black (5 Suits),3,12,1,8,1
Black (6 Suits),3,9,1,13,1
Brown (5 Suits),3,1,1,6,1
Brown (6 Suits),3,3,1,8,1
Dual-Color (6 Suits),3,2,1,1,1
No Variant,2,1,1,5,1
No Variant,3,3,1,3,1
Null (5 Suits),3,5,1,3,1
Prism (3 Suits),3,1,1,1,1
Prism (5 Suits),3,2,1,5,1
Rainbow & White (6 Suits),3,2,1,2,1
Rainbow (3 Suits),3,7,1,1,1
Rainbow (5 Suits),3,3,1,3,1
Rainbow (5 Suits),4,5,1,1,1
Rainbow (6 Suits),3,2,1,1,1
White (3 Suits),3,7,1,5,1
White (6 Suits),3,2,1,2,1
