3 Suits,2,2,1,4,1
3 Suits,3,1,1,1,1
4 Suits,2,3,1,2,1
4 Suits,3,2,1,1,1
6 Suits,2,8,1,5,1
6 Suits,3,3,1,4,1
Black (6 Suits),3,9,1,2,1
Brown (4 Suits),3,2,1,2,1
Brown (6 Suits),3,3,1,1,1
Dark Brown (6 Suits),3,2,1,1,1
Dark Pink (5 Suits),3,15,1,2,1
Dark Prism (5 Suits),3,3,1,2,1
Dark Prism (6 Suits),3,9,1,1,1
No Variant,2,1,1,1,1
No Variant,3,3,1,8,1
No Variant,4,5,1,1,1
No Variant,5,1,1,7,1
Null (5 Suits),3,5,1,2,1
Pink (3 Suits),3,3,1,1,1
Pink (6 Suits),2,4,1,2,1
Prism (4 Suits),3,1,1,2,1
Prism (6 Suits),3,2,1,4,1
Rainbow & Muddy Rainbow (5 Suits),2,1,1,2,1
Rainbow (3 Suits),3,7,1,1,1
Rainbow (4 Suits),3,1,1,1,1
Rainbow (5 Suits),2,1,1,1,1
Rainbow (5 Suits),4,5,1,2,1
Rainbow (6 Suits),2,1,1,1,1
Up or Down (6 Suits),3,10,1,3,1
White (3 Suits),3,7,1,4,1
White (4 Suits),3,2,1,1,1
White (4 Suits),4,1,1,2,1
White (5 Suits),3,1,1,1,1
White (5 Suits),4,1,1,1,1
