3 Suits,2,1,1,1,1
Black & Pink (5 Suits),4,1,1,1,1
Black (5 Suits),2,7,1,2,1
Black (5 Suits),3,11,1,6,1
Brown (4 Suits),2,4,1,3,1
Brown (4 Suits),3,1,1,1,1
Dark Brown (6 Suits),3,1,1,1,1
Dark Omni (5 Suits),4,5,1,2,1
Dark Pink (5 Suits),3,8,1,8,1
Dark Rainbow (5 Suits),3,6,1,7,1
Dark Rainbow (6 Suits),4,5,1,2,1
Gray (5 Suits),2,3,1,4,1
Light Pink (5 Suits),2,5,1,1,1
Muddy Rainbow (5 Suits),3,1,1,2,1
No Variant,2,6,1,4,1
No Variant,3,3,1,10,1
No Variant,4,8,1,4,1
No Variant,5,5,1,6,1
No Variant,6,2,1,1,1
Omni (5 Suits),3,1,1,8,1
Pink (5 Suits),2,4,1,1,1
Pink (5 Suits),3,5,1,1,1
Prism (3 Suits),3,1,1,4,1
Prism (4 Suits),3,1,1,3,1
Prism (5 Suits),4,1,1,2,1
Rainbow & Muddy Rainbow (6 Suits),3,1,1,1,1
Rainbow & Pink (6 Suits),4,5,1,2,1
Rainbow & Prism (5 Suits),4,1,1,4,1
Rainbow (5 Suits),4,1,1,2,1
Rainbow (5 Suits),5,1,1,3,1
Rainbow (6 Suits),2,1,1,1,1
Up or Down & Light Pink (5 Suits),4,1,1,1,1
White (3 Suits),4,1,1,1,1
