6 Suits,2,1,1,1,1
6 Suits,4,1,1,22,1
6 Suits,5,3,1,3,1
6 Suits,6,3,1,3,1
Ambiguous & Dual-Color,4,2,1,4,1
Black & Pink (5 Suits),4,3,1,1,1
Black (6 Suits),3,3,1,2,1
Brown (5 Suits),3,1,1,5,1
Brown (5 Suits),4,1,1,5,1
Brown (5 Suits),5,1,1,4,1
Brown-Ones & Pink (5 Suits),5,1,1,1,1
Cocoa Rainbow (5 Suits),3,1,1,2,1
Cocoa Rainbow (6 Suits),4,1,1,1,1
Extremely Ambiguous (5 Suits),4,2,1,2,1
Gray (6 Suits),3,3,1,1,1
Light Pink (5 Suits),3,1,1,1,1
Light Pink (5 Suits),5,1,1,2,1
Muddy Rainbow & Light Pink (5 Suits),5,1,1,1,1
Muddy Rainbow (5 Suits),3,1,1,1,1
Muddy Rainbow (6 Suits),5,5,1,4,1
No Variant,3,4,1,7,1
No Variant,4,13,1,13,1
No Variant,5,4,1,8,1
No Variant,6,2,1,6,1
Omni (5 Suits),4,1,1,6,1
Omni (6 Suits),4,1,1,7,1
Pink & Brown (5 Suits),4,1,1,1,1
Pink (3 Suits),3,1,1,1,1
Pink (3 Suits),4,3,1,1,1
Pink (5 Suits),3,9,1,3,1
Pink (5 Suits),4,2,1,8,1
Pink (6 Suits),3,2,1,2,1
Prism (3 Suits),3,2,1,2,1
Prism (5 Suits),3,1,1,1,1
Prism (5 Suits),4,1,1,2,1
Prism (6 Suits),3,1,1,1,1
Rainbow & Dark Prism (5 Suits),4,1,1,1,1
Rainbow & Pink (5 Suits),6,1,1,4,1
Rainbow & White (5 Suits),3,1,1,3,1
Rainbow & White (5 Suits),4,1,1,4,1
Rainbow & White (6 Suits),5,1,1,1,1
Rainbow (4 Suits),3,2,1,1,1
Rainbow (5 Suits),4,1,1,6,1
Rainbow (5 Suits),5,4,1,2,1
Rainbow (5 Suits),6,1,1,3,1
Rainbow (6 Suits),4,2,1,3,1
Rainbow (6 Suits),5,5,1,6,1
Rainbow (6 Suits),6,7,1,1,1
Up or Down & Brown (5 Suits),4,2,1,2,1
Up or Down & Muddy Rainbow (6 Suits),3,1,1,2,1
Up or Down (5 Suits),3,1,1,3,1
Up or Down (5 Suits),4,12,1,4,1
Up or Down (6 Suits),6,1,1,2,1
White (5 Suits),3,2,1,3,1
White (5 Suits),4,1,1,6,1
White (6 Suits),3,1,1,3,1
White (6 Suits),4,1,1,3,1
