3 Suits,2,2,1,4,1
3 Suits,4,4,1,7,1
4 Suits,2,1,1,2,1
4 Suits,3,2,1,1,1
6 Suits,2,1,1,5,1
Ambiguous (4 Suits),2,1,1,1,1
Black & Prism (5 Suits),2,12,1,4,1
Black & White (5 Suits),2,3,1,4,1
Black (5 Suits),2,6,1,1,1
Black (6 Suits),2,2,1,9,1
Brown (4 Suits),2,1,1,2,1
Brown (5 Suits),2,4,1,3,1
Brown (6 Suits),3,2,1,1,1
Dark Omni (6 Suits),2,22,1,6,1
Dark Pink (5 Suits),2,1,1,12,1
Dark Pink (6 Suits),2,9,1,15,1
Dark Prism (6 Suits),2,6,1,24,1
Dark Prism (6 Suits),3,3,1,1,1
Dark Rainbow (6 Suits),2,6,1,6,1
Dual-Color (6 Suits),2,2,1,2,1
Duck (3 Suits),3,2,1,1,1
Duck (4 Suits),3,2,1,12,1
Duck (5 Suits),3,1,1,2,1
Gray (6 Suits),2,2,1,11,1
Light Pink (3 Suits),2,3,1,1,1
Light Pink (4 Suits),2,1,1,3,1
Light Pink (5 Suits),2,1,1,1,1
Light Pink (6 Suits),2,7,1,2,1
Muddy Rainbow (3 Suits),2,2,1,5,1
Muddy Rainbow (4 Suits),2,2,1,1,1
Muddy Rainbow (5 Suits),2,2,1,4,1
Muddy Rainbow (6 Suits),2,3,1,1,1
No Variant,2,2,1,1,1
No Variant,3,4,1,8,1
No Variant,4,8,1,1,1
No Variant,5,2,1,7,1
Null (3 Suits),2,5,1,3,1
Null (4 Suits),3,5,1,1,1
Omni (3 Suits),2,1,1,3,1
Omni (4 Suits),2,3,1,5,1
Omni (5 Suits),2,9,1,2,1
Omni (6 Suits),2,4,1,7,1
Pink & Omni (3 Suits),2,2,1,8,1
Pink (3 Suits),2,3,1,1,1
Pink (3 Suits),3,1,1,1,1
Pink (6 Suits),2,4,1,2,1
Prism (6 Suits),2,2,1,6,1
Prism (6 Suits),3,1,1,4,1
Rainbow (3 Suits),2,2,1,1,1
Rainbow (4 Suits),3,5,1,1,1
Rainbow (5 Suits),2,1,1,1,1
Rainbow (5 Suits),4,4,1,2,1
Rainbow (6 Suits),2,1,1,1,1
Rainbow (6 Suits),4,7,1,4,1
Rainbow Reversed (4 Suits),2,2,1,1,1
Up or Down (6 Suits),3,2,1,3,1
White & Muddy Rainbow (6 Suits),2,1,1,3,1
White & Prism (6 Suits),2,2,1,1,1
White (3 Suits),2,2,1,2,1
White (4 Suits),2,1,1,1,1
