3 Suits,4,1,1,1,1
4 Suits,3,1,1,1,1
6 Suits,3,2,1,2,1
Brown (4 Suits),3,2,1,2,1
Brown (5 Suits),4,3,1,1,1
Deceptive-Ones (5 Suits),3,3,1,2,1
Dual-Color (5 Suits),3,3,1,1,1
No Variant,2,15,1,1,1
No Variant,3,13,1,1,1
No Variant,4,2,1,4,1
No Variant,5,8,1,37,1
No Variant,6,9,1,5,1
Pink (4 Suits),4,2,1,3,1
Pink (5 Suits),3,3,1,2,1
Prism (5 Suits),3,2,1,1,1
Prism (6 Suits),3,2,1,4,1
Rainbow (6 Suits),3,2,1,1,1
Throw It in a Hole (5 Suits),4,1,1,2,1
White (5 Suits),3,1,1,1,1
White (6 Suits),6,1,1,1,1
White-Ones & Brown (5 Suits),6,1,1,1,1
