4 Suits,2,6,1,1,1
6 Suits,2,36,1,1,1
Black & White (5 Suits),2,7,1,4,1
Brown (6 Suits),3,5,1,1,1
Dark Brown (5 Suits),2,5,1,8,1
Dark Omni (5 Suits),2,2,1,11,1
Dark Prism (5 Suits),2,8,1,4,1
Dark Rainbow (6 Suits),2,6,1,4,1
Dual-Color (5 Suits),3,1,1,6,1
Gray (5 Suits),2,18,1,8,1
Light Pink (5 Suits),2,1,1,7,1
Light Pink (6 Suits),3,3,1,7,1
Muddy Rainbow (5 Suits),3,1,1,1,1
No Variant,2,5,1,3,1
No Variant,3,1,1,3,1
No Variant,4,1,1,9,1
No Variant,5,1,1,9,1
Null (5 Suits),3,5,1,12,1
Pink (4 Suits),3,1,1,1,1
Pink (5 Suits),2,2,1,2,1
Pink (5 Suits),3,3,1,2,1
Pink (6 Suits),3,7,1,2,1
Prism (5 Suits),2,12,1,1,1
Rainbow & Pink (5 Suits),2,1,1,5,1
Rainbow & Pink (6 Suits),3,4,1,2,1
Rainbow & Prism (5 Suits),2,1,1,1,1
Rainbow & White (6 Suits),3,3,1,1,1
Rainbow (4 Suits),2,4,1,1,1
Rainbow (5 Suits),2,4,1,1,1
Rainbow (5 Suits),3,10,1,3,1
Special Mix (5 Suits),3,16,1,12,1
Up or Down (5 Suits),3,8,1,2,1
White (3 Suits),3,5,1,9,1
White (4 Suits),3,2,1,2,1
White (5 Suits),2,1,1,1,1
