3 Suits,3,5,1,1,1
4 Suits,3,2,1,1,1
Black (5 Suits),4,15,1,2,1
Dual-Color (6 Suits),3,2,1,4,1
No Variant,2,19,1,8,1
No Variant,3,6,1,3,1
No Variant,4,2,1,1,1
No Variant,5,18,1,10,1
Pink (5 Suits),4,2,1,1,1
Prism (4 Suits),3,3,1,1,1
Prism (5 Suits),3,1,1,3,1
Prism (6 Suits),3,3,1,10,1
Prism (6 Suits),4,2,1,1,1
Rainbow & White (5 Suits),3,2,1,1,1
Rainbow (6 Suits),3,1,1,4,1
Rainbow (6 Suits),4,2,1,4,1
Throw It in a Hole (5 Suits),3,1,1,3,1
White & Brown (5 Suits),5,1,1,1,1
White (6 Suits),3,4,1,3,1
White (6 Suits),4,1,1,1,1
