3 Suits,2,2,1,1,1
4 Suits,2,1,1,3,1
6 Suits,2,1,1,1,1
6 Suits,3,2,1,2,1
Black & White (5 Suits),2,4,1,1,1
Black (5 Suits),4,16,1,9,1
Dark Omni (5 Suits),2,11,1,8,1
Gray (5 Suits),2,8,1,15,1
Gray (5 Suits),3,5,1,2,1
Gray (5 Suits),4,2,1,11,1
Muddy Rainbow (4 Suits),3,1,1,1,1
Muddy Rainbow (5 Suits),3,1,1,5,1
No Variant,2,3,1,5,1
No Variant,3,3,1,2,1
No Variant,4,9,1,2,1
No Variant,5,9,1,2,1
Omni (5 Suits),5,1,1,1,1
Pink (5 Suits),2,2,1,5,1
Pink (5 Suits),3,2,1,2,1
Pink (6 Suits),3,2,1,2,1
Rainbow & Omni (6 Suits),3,3,1,5,1
Rainbow & White (6 Suits),3,1,1,3,1
Rainbow (3 Suits),2,1,1,1,1
Rainbow (3 Suits),3,2,1,2,1
Rainbow (4 Suits),2,1,1,1,1
Rainbow (5 Suits),2,1,1,2,1
Rainbow (6 Suits),5,2,1,5,1
Up or Down (5 Suits),3,2,1,1,1
White (4 Suits),3,2,1,2,1
White (5 Suits),2,1,1,1,1
