6 Suits,6,1,1,3,1
Black (5 Suits),2,3,1,8,1
Black (5 Suits),4,16,1,7,1
Black (6 Suits),3,7,1,1,1
Dual-Color & White (6 Suits),5,1,1,1,1
Gray (5 Suits),3,5,1,2,1
Light Pink (6 Suits),3,7,1,2,1
No Variant,2,3,1,2,1
No Variant,3,3,1,4,1
No Variant,4,9,1,8,1
No Variant,5,9,1,2,1
Null (5 Suits),3,12,1,2,1
Null (5 Suits),4,1,1,1,1
Null (6 Suits),3,1,1,1,1
Omni (5 Suits),5,1,1,3,1
Omni (6 Suits),3,2,1,1,1
Pink & Brown (6 Suits),4,1,1,2,1
Pink (5 Suits),3,2,1,4,1
Rainbow & Pink (5 Suits),3,2,1,2,1
Rainbow (6 Suits),5,2,1,1,1
Special Mix (5 Suits),3,12,1,3,1
