3 Suits,2,1,1,1,1
4 Suits,2,5,1,3,1
4 Suits,3,1,1,1,1
6 Suits,2,5,1,1,1
6 Suits,3,2,1,2,1
6 Suits,4,2,1,22,1
Ambiguous (4 Suits),2,1,1,1,1
Black & Brown (5 Suits),2,13,1,11,1
Black & Brown (6 Suits),5,3,1,2,1
Black & Pink (5 Suits),2,8,1,32,1
Black & Pink (5 Suits),3,3,1,1,1
Black & Pink (6 Suits),3,3,1,1,1
Black & Pink (6 Suits),4,10,1,1,1
Black & Rainbow (6 Suits),2,5,1,2,1
Black & White (5 Suits),2,5,1,1,1
Black & White (6 Suits),2,7,1,1,1
Black & White (6 Suits),5,4,1,2,1
Brown & Muddy Rainbow (6 Suits),5,2,1,2,1
Brown (5 Suits),2,1,1,1,1
Brown (5 Suits),3,1,1,1,1
Brown (5 Suits),5,1,1,1,1
Brown (6 Suits),4,1,1,6,1
Cocoa Rainbow (5 Suits),3,3,1,3,1
Dark Omni (5 Suits),3,3,1,2,1
Dark Pink (6 Suits),3,4,1,3,1
Dark Rainbow (6 Suits),4,4,1,6,1
Dual-Color (6 Suits),5,10,1,1,1
Extremely Ambiguous (4 Suits),2,2,1,2,1
Gray (5 Suits),2,2,1,15,1
Light Pink (4 Suits),4,1,1,2,1
Light Pink (5 Suits),3,10,1,4,1
Light Pink (5 Suits),4,2,1,2,1
Muddy Rainbow (4 Suits),3,1,1,1,1
Muddy Rainbow (5 Suits),3,3,1,5,1
No Variant,2,8,1,5,1
No Variant,3,11,1,2,1
No Variant,4,2,1,2,1
No Variant,5,6,1,2,1
Null (5 Suits),2,24,1,10,1
Omni (5 Suits),5,1,1,1,1
Pink & Brown (4 Suits),4,1,1,1,1
Pink & Brown (5 Suits),4,2,1,1,1
Pink & Light Pink (5 Suits),4,2,1,1,1
Pink & Omni (6 Suits),2,18,1,4,1
Pink & White (4 Suits),4,1,1,1,1
Pink (4 Suits),2,3,1,3,1
Pink (5 Suits),2,3,1,5,1
Pink (5 Suits),3,3,1,2,1
Pink (5 Suits),4,1,1,1,1
Pink (6 Suits),2,1,1,4,1
Prism & Gray (5 Suits),4,2,1,2,1
Rainbow & Brown (3 Suits),2,3,1,2,1
Rainbow & Brown (4 Suits),4,1,1,3,1
Rainbow & Brown (5 Suits),3,4,1,1,1
Rainbow & Dark Brown (6 Suits),4,1,1,3,1
Rainbow & Dark Omni (6 Suits),2,4,1,7,1
Rainbow & Dark Prism (5 Suits),4,5,1,4,1
Rainbow & Dark Prism (6 Suits),4,3,1,1,1
Rainbow & Muddy Rainbow (6 Suits),5,1,1,1,1
Rainbow & Omni (4 Suits),4,1,1,2,1
Rainbow & White (4 Suits),2,4,1,3,1
Rainbow & White (5 Suits),4,1,1,1,1
Rainbow & White (6 Suits),3,1,1,3,1
Rainbow & White (6 Suits),5,2,1,2,1
Rainbow (5 Suits),2,1,1,2,1
Rainbow (5 Suits),4,1,1,1,1
Rainbow (5 Suits),6,4,1,3,1
Rainbow (6 Suits),4,2,1,3,1
Rainbow (6 Suits),5,3,1,5,1
Up or Down & Rainbow (6 Suits),3,1,1,2,1
White & Brown (6 Suits),4,1,1,1,1
White (4 Suits),3,1,1,2,1
White (4 Suits),4,1,1,2,1
White (4 Suits),5,2,1,1,1
White (5 Suits),2,2,1,1,1
White (5 Suits),5,1,1,2,1
White (6 Suits),5,3,1,4,1
