3 Suits,2,4,1,2,1
6 Suits,2,9,1,8,1
Black & Rainbow (5 Suits),3,6,1,17,1
Black (5 Suits),2,3,1,2,1
Black (6 Suits),2,39,1,2,1
Black (6 Suits),3,11,1,1,1
Black (6 Suits),4,15,1,4,1
Brown (5 Suits),2,1,1,3,1
Brown (6 Suits),3,3,1,5,1
Clue Starved (6 Suits),2,6,1,6,1
Dual-Color (6 Suits),4,2,1,2,1
Duck (5 Suits),3,15,1,10,1
No Variant,2,10,1,49,1
No Variant,3,1,1,2,1
No Variant,4,3,1,10,1
No Variant,5,3,1,6,1
Pink (5 Suits),2,6,1,2,1
Prism (6 Suits),3,1,1,1,1
Rainbow (3 Suits),2,3,1,1,1
Rainbow (6 Suits),3,3,1,2,1
Rainbow (6 Suits),4,4,1,9,1
Up or Down (5 Suits),3,2,1,4,1
Up or Down (5 Suits),4,1,1,8,1
White (6 Suits),3,4,1,3,1
White Reversed (6 Suits),3,2,1,3,1
White Reversed (6 Suits),4,1,1,1,1
