4 Suits,3,5,1,1,1
4 Suits,4,4,1,4,1
6 Suits,3,4,1,2,1
Brown (4 Suits),3,1,1,2,1
Brown (4 Suits),5,3,1,1,1
Brown (5 Suits),3,1,1,2,1
Brown (5 Suits),4,1,1,1,1
Brown (6 Suits),3,3,1,1,1
Dark Brown (6 Suits),3,1,1,4,1
No Variant,2,4,1,1,1
No Variant,3,3,1,1,1
No Variant,4,2,1,4,1
No Variant,5,4,1,37,1
No Variant,6,2,1,5,1
Pink (5 Suits),3,5,1,2,1
Prism (4 Suits),3,2,1,2,1
Prism (5 Suits),3,1,1,1,1
Prism (6 Suits),3,5,1,4,1
Rainbow (6 Suits),3,2,1,1,1
Rainbow (6 Suits),4,3,1,4,1
Throw It in a Hole (6 Suits),4,1,1,1,1
White (5 Suits),4,1,1,2,1
