571211,4,30,Black (6 Suits),avanderwalde,Kyle,mystus,newsun
569108,3,18,Pink-Fives & Prism (4 Suits),avanderwalde,rkass,wump
567963,4,23,Clue Starved & Light Pink (5 Suits),avanderwalde,derekcheah,TheDaniMan,Zamiel
567954,4,0,Clue Starved & Light Pink (5 Suits),avanderwalde,derekcheah,TheDaniMan,Zamiel
567948,4,23,Clue Starved & Light Pink (5 Suits),avanderwalde,derekcheah,TheDaniMan,Zamiel
567935,4,0,Clue Starved & Light Pink (5 Suits),avanderwalde,derekcheah,TheDaniMan,Zamiel
567924,3,0,Clue Starved & Light Pink (5 Suits),avanderwalde,derekcheah,Zamiel
567907,3,0,Clue Starved & Light Pink (5 Suits),avanderwalde,Dr_Kakashi,Zamiel
567885,4,21,Black & Pink (5 Suits),avanderwalde,Bot-Fiora,griff77,rkass
567877,4,0,Black & Pink (5 Suits),avanderwalde,Bot-Fiora,griff77,rkass
567873,6,30,Rainbow & Light Pink (6 Suits),avanderwalde,Dr_Kakashi,griff77,HelanaAshryvr,kimbifille,rkass
567853,3,20,White & Dark Prism (5 Suits),avanderwalde,griff77,rkass
567139,4,23,Black & White (5 Suits),avanderwalde,indego,kevincaseytdk1,rkass
567109,3,21,Black & Muddy Rainbow (5 Suits),avanderwalde,indego,rkass
567076,3,0,Black & Muddy Rainbow (5 Suits),avanderwalde,indego,rkass
566298,3,0,Muddy Rainbow & Prism (6 Suits),avanderwalde,Lanvin,nkkarpov
566290,3,0,Muddy Rainbow & Prism (6 Suits),avanderwalde,Lanvin,nkkarpov
566132,3,25,Rainbow & Gray Pink (5 Suits),asaelr,avanderwalde,indego
566127,3,0,Rainbow & Gray Pink (5 Suits),asaelr,avanderwalde,indego
565774,5,23,Black & White (5 Suits),avanderwalde,JerryYang,Lel0uch,melwen,rkass
565728,6,30,Muddy Rainbow (6 Suits),avanderwalde,JerryYang,kevincaseytdk1,Lel0uch,melwen,rkass
565698,3,30,Muddy Rainbow (6 Suits),avanderwalde,JerryYang,rkass
564614,6,25,White (5 Suits),asaelr,avanderwalde,dobi,griff77,kevincaseytdk1,rkass
564602,6,25,Black (5 Suits),asaelr,avanderwalde,dobi,griff77,kevincaseytdk1,rkass
564467,3,30,Rainbow & Brown (6 Suits),avanderwalde,Kyle,rkass
564440,4,25,Rainbow & Dark Pink (5 Suits),avanderwalde,dobi,Kyle,rkass
564396,4,24,Rainbow & Dark Pink (5 Suits),avanderwalde,dobi,Kyle,rkass
563435,5,30,White-Fives & Prism (6 Suits),avanderwalde,kimbifille,Lanvin,MangoPie,tulioz
563281,5,30,Omni & Muddy Rainbow (6 Suits),avanderwalde,jack67889,kimbifille,Lanvin,MangoPie
561072,3,30,Black & Muddy Rainbow (6 Suits),avanderwalde,griff77,rkass
559958,4,0,Omni & Dark Brown (5 Suits),avanderwalde,kevincaseytdk1,melwen,rkass
559942,4,0,Omni & Dark Brown (5 Suits),avanderwalde,kevincaseytdk1,melwen,rkass
559923,3,20,Rainbow & Dark Brown (5 Suits),avanderwalde,melwen,rkass
558865,6,25,Brown & Cocoa Rainbow (6 Suits),avanderwalde,dobi,kevincaseytdk1,Lel0uch,melwen,rkass
558842,5,0,Brown & Cocoa Rainbow (6 Suits),avanderwalde,kevincaseytdk1,Lel0uch,melwen,rkass
558832,3,25,White & Cocoa Rainbow (5 Suits),avanderwalde,kevincaseytdk1,rkass
557719,5,28,Dark Pink (6 Suits),avanderwalde,kevincaseytdk1,kimbifille,pianoblook,rkass
557661,5,25,Rainbow & Omni (5 Suits),avanderwalde,kevincaseytdk1,kimbifille,pianoblook,rkass
