player1,player2,attempts,won_variants,attempts/win
ADrone,pianoblook,23,5,4.60
Aluap,antitelharsic,16,2,8.00
Amy2,wump,25,4,6.25
Amy2,Nitrate2,3,0,NA
anser,nukelauncher,17,3,5.67
anser,william65537,5,1,5.00
asaelr,scharkbite,25,6,4.17
avanderwalde,rkass,59,5,11.80
BlueNovember,Pantheia,28,1,28.00
BlueNovember,Crux,33,1,33.00
ChristopheAF,Lanvin,46,9,5.11
Dr_Kakashi,kimbifille,102,5,20.40
Dr_Kakashi,IAMJEFF,37,7,5.29
Dr_Kakashi,asaelr,45,9,5.00
Dr_Kakashi,Floriman,32,2,16.00
Dr_Kakashi,Kyle,21,1,21.00
Dr_Kakashi,Valetta6789,22,3,7.33
Dr_Kakashi,scharkbite,46,4,11.50
Dr_Kakashi,RaKXeR,13,1,13.00
Dr_Kakashi,micerang,19,3,6.33
Dr_Kakashi,Fireheart,15,4,3.75
Dr_Kakashi,Livia,24,3,8.00
Durandal,HelanaAshryvr,6,1,6.00
Durandal,Lanvin,6,0,NA
Durandal,squirrel1988,1,0,NA
emilyzhao,squidgetx,15,3,5.00
Fireheart,Valetta6789,95,19,5.00
Fireheart,Kyle,45,5,9.00
Fireheart,micerang,39,7,5.57
Fireheart,Zamiel,62,5,12.40
Fireheart,asaelr,58,9,6.44
Fireheart,Livia,13,1,13.00
Fireheart,scharkbite,46,3,15.33
Fireheart,IAMJEFF,81,11,7.36
Floriman,kimbifille,46,4,11.50
Floriman,Kyle,32,4,8.00
Floriman,Valetta6789,85,4,21.25
Floriman,asaelr,45,8,5.62
Floriman,florrat2,58,1,58.00
Floriman,RaKXeR,2,0,NA
Floriman,scharkbite,31,2,15.50
florrat2,timotree,4,2,2.00
florrat2,postmans,30,2,15.00
florrat2,sankala,22,2,11.00
HelanaAshryvr,Lanvin,25,2,12.50
HelanaAshryvr,squirrel1988,14,0,NA
IAMJEFF,kimbifille,17,4,4.25
IAMJEFF,Zamiel,22,2,11.00
IAMJEFF,asaelr,47,8,5.88
IAMJEFF,Valetta6789,41,9,4.56
IAMJEFF,scharkbite,30,5,6.00
indego,melwen,41,10,4.10
Jake_Stiles,solarstar92,1,0,NA
jh,lh,105,7,15.00
kimbifille,pianoblook,108,21,5.14
kimbifille,piper,66,18,3.67
kimbifille,kooolant,13,2,6.50
Kyle,asaelr,26,4,6.50
Kyle,scharkbite,28,3,9.33
Kyle,Zamiel,71,5,14.20
Kyle,micerang,29,4,7.25
Kyle,TimeHoodie,17,5,3.40
Lanvin,melwen,38,10,3.80
Lanvin,VerySloppyTwo,32,8,4.00
Lanvin,indego,45,4,11.25
Lanvin,dobi,44,12,3.67
Lanvin,Lel0uch,62,11,5.64
Lanvin,Wittvector,32,3,10.67
Lanvin,jack67889,25,3,8.33
Lanvin,MangoPie,25,9,2.78
Lanvin,rz,31,8,3.88
Lanvin,squirrel1988,17,1,17.00
Lel0uch,indego,183,25,7.32
Lel0uch,melwen,105,18,5.83
Lel0uch,MarkusKahlsen,38,11,3.45
Lel0uch,derekcheah,66,11,6.00
Lel0uch,squirrel1988,33,2,16.50
Lel0uch,frosty104,6,1,6.00
Libster,sjdrodge,14,0,NA
Libster,timotree,2,1,2.00
Libster,Valetta6789,117,2,58.50
Libster,florrat2,28,3,9.33
Libster,RaKXeR,14,2,7.00
Libster,sankala,22,3,7.33
Libster,Zamiel,55,2,27.50
Libster,NoMercy,162,1,162.00
Libster,Razvogor,103,1,103.00
Libster,frog-kun,229,0,NA
Libster,Razgovor,12,1,12.00
Libster,NotRaKXeR,26,2,13.00
Livia,invarse,7,0,NA
melwen,ntinta,4,1,4.00
melwen,scharkbite,56,6,9.33
melwen,squirrel1988,29,2,14.50
melwen,sephiroth,9,1,9.00
micerang,scharkbite,37,5,7.40
NoMercy,florrat2,164,2,82.00
NoMercy,Zamiel,5,0,NA
Pablo-,nitawa,57,12,4.75
pianoblook,piper,74,20,3.70
RaKXeR,florrat2,27,2,13.50
RaKXeR,Valetta6789,48,1,48.00
RaKXeR,Zamiel,7,1,7.00
Razvogor,florrat2,102,1,102.00
rz,wump,36,9,4.00
Sh,jh,105,7,15.00
Sh,lh,105,7,15.00
Syrah,scepheo,57,10,5.70
Syrah,mugsly,56,10,5.60
TheDaniMan,indego,42,7,6.00
TheDaniMan,doeo,64,13,4.92
TheDaniMan,lilyxy,73,12,6.08
TimeHoodie,kimbifille,33,3,11.00
TimeHoodie,melwen,24,5,4.80
Valetta6789,florrat2,111,1,111.00
VerySloppyTwo,sephiroth,24,5,4.80
Zamiel,kimbifille,21,0,NA
Zamiel,micerang,70,5,14.00
Zamiel,scharkbite,44,1,44.00
Zamiel,florrat2,12,2,6.00
Zamiel,sankala,46,2,23.00
