player1,player2,attempts,won_variants,attempts/win
ADrone,pianoblook,72,9,8.00
Aluap,antitelharsic,34,6,5.67
Amy2,wump,31,9,3.44
Amy2,Nitrate2,38,7,5.43
anser,nukelauncher,34,6,5.67
anser,william65537,6,4,1.50
asaelr,scharkbite,48,8,6.00
avanderwalde,rkass,94,25,3.76
BlueNovember,Pantheia,26,5,5.20
BlueNovember,Crux,12,2,6.00
ChristopheAF,Lanvin,113,21,5.38
Dr_Kakashi,kimbifille,150,32,4.69
Dr_Kakashi,IAMJEFF,101,16,6.31
Dr_Kakashi,asaelr,66,15,4.40
Dr_Kakashi,Floriman,105,22,4.77
Dr_Kakashi,Kyle,63,12,5.25
Dr_Kakashi,Valetta6789,74,10,7.40
Dr_Kakashi,scharkbite,61,10,6.10
Dr_Kakashi,RaKXeR,23,2,11.50
Dr_Kakashi,micerang,58,12,4.83
Dr_Kakashi,Fireheart,74,10,7.40
Dr_Kakashi,Livia,55,9,6.11
Durandal,HelanaAshryvr,6,0,NA
Durandal,Lanvin,6,1,6.00
Durandal,squirrel1988,0,0,NA
emilyzhao,squidgetx,50,13,3.85
Fireheart,Valetta6789,121,15,8.07
Fireheart,Kyle,90,14,6.43
Fireheart,micerang,77,14,5.50
Fireheart,Zamiel,108,9,12.00
Fireheart,asaelr,25,6,4.17
Fireheart,Livia,48,6,8.00
Fireheart,scharkbite,85,13,6.54
Fireheart,IAMJEFF,116,16,7.25
Floriman,kimbifille,74,17,4.35
Floriman,Kyle,115,19,6.05
Floriman,Valetta6789,78,16,4.88
Floriman,asaelr,51,14,3.64
Floriman,florrat2,5,1,5.00
Floriman,RaKXeR,26,4,6.50
Floriman,scharkbite,76,22,3.45
florrat2,timotree,3,1,3.00
florrat2,postmans,8,1,8.00
florrat2,sankala,10,2,5.00
HelanaAshryvr,Lanvin,74,11,6.73
HelanaAshryvr,squirrel1988,52,11,4.73
IAMJEFF,kimbifille,20,7,2.86
IAMJEFF,Zamiel,41,9,4.56
IAMJEFF,asaelr,30,7,4.29
IAMJEFF,Valetta6789,106,11,9.64
IAMJEFF,scharkbite,42,15,2.80
indego,melwen,53,5,10.60
Jake_Stiles,solarstar92,0,0,NA
jh,lh,0,0,NA
kimbifille,pianoblook,101,35,2.89
kimbifille,piper,78,27,2.89
kimbifille,kooolant,74,15,4.93
Kyle,asaelr,61,12,5.08
Kyle,scharkbite,144,25,5.76
Kyle,Zamiel,66,7,9.43
Kyle,micerang,84,19,4.42
Kyle,TimeHoodie,100,17,5.88
Lanvin,melwen,78,19,4.11
Lanvin,VerySloppyTwo,97,15,6.47
Lanvin,indego,115,12,9.58
Lanvin,dobi,82,9,9.11
Lanvin,Lel0uch,70,12,5.83
Lanvin,Wittvector,82,12,6.83
Lanvin,jack67889,69,12,5.75
Lanvin,MangoPie,79,14,5.64
Lanvin,rz,84,15,5.60
Lanvin,squirrel1988,34,7,4.86
Lel0uch,indego,105,18,5.83
Lel0uch,melwen,127,24,5.29
Lel0uch,MarkusKahlsen,16,4,4.00
Lel0uch,derekcheah,89,12,7.42
Lel0uch,squirrel1988,48,11,4.36
Lel0uch,frosty104,90,20,4.50
Libster,sjdrodge,28,5,5.60
Libster,timotree,4,2,2.00
Libster,Valetta6789,9,3,3.00
Libster,florrat2,56,9,6.22
Libster,RaKXeR,33,4,8.25
Libster,sankala,6,1,6.00
Libster,Zamiel,68,9,7.56
Libster,NoMercy,17,5,3.40
Libster,Razvogor,32,3,10.67
Libster,frog-kun,0,0,NA
Libster,Razgovor,60,4,15.00
Libster,NotRaKXeR,3,1,3.00
Livia,invarse,4,1,4.00
melwen,ntinta,344,69,4.99
melwen,scharkbite,189,23,8.22
melwen,squirrel1988,36,10,3.60
melwen,sephiroth,111,19,5.84
micerang,scharkbite,65,18,3.61
NoMercy,florrat2,13,5,2.60
NoMercy,Zamiel,22,5,4.40
Pablo-,nitawa,59,15,3.93
pianoblook,piper,123,33,3.73
RaKXeR,florrat2,15,2,7.50
RaKXeR,Valetta6789,84,2,42.00
RaKXeR,Zamiel,14,1,14.00
Razvogor,florrat2,12,5,2.40
rz,wump,72,14,5.14
Sh,jh,0,0,NA
Sh,lh,0,0,NA
Syrah,scepheo,43,5,8.60
Syrah,mugsly,45,5,9.00
TheDaniMan,indego,32,3,10.67
TheDaniMan,doeo,144,21,6.86
TheDaniMan,lilyxy,151,20,7.55
TimeHoodie,kimbifille,82,14,5.86
TimeHoodie,melwen,124,20,6.20
Valetta6789,florrat2,4,1,4.00
VerySloppyTwo,sephiroth,80,12,6.67
Zamiel,kimbifille,40,3,13.33
Zamiel,micerang,87,11,7.91
Zamiel,scharkbite,78,12,6.50
Zamiel,florrat2,40,10,4.00
Zamiel,sankala,8,1,8.00
