player1,player2,attempts,won_variants,attempts/win
ADrone,pianoblook,4,1,4.00
Aluap,antitelharsic,9,3,3.00
Amy2,wump,5,2,2.50
Amy2,Nitrate2,14,3,4.67
anser,nukelauncher,3,0,NA
anser,william65537,1,1,1.00
asaelr,scharkbite,8,3,2.67
avanderwalde,rkass,13,3,4.33
BlueNovember,Pantheia,4,0,NA
BlueNovember,Crux,3,0,NA
ChristopheAF,Lanvin,15,3,5.00
Dr_Kakashi,kimbifille,15,3,5.00
Dr_Kakashi,asaelr,7,3,2.33
Dr_Kakashi,Floriman,19,3,6.33
Dr_Kakashi,IAMJEFF,3,0,NA
Dr_Kakashi,Kyle,13,2,6.50
Dr_Kakashi,Valetta6789,7,2,3.50
Dr_Kakashi,scharkbite,20,5,4.00
Dr_Kakashi,RaKXeR,5,1,5.00
Dr_Kakashi,micerang,10,1,10.00
Dr_Kakashi,Fireheart,6,1,6.00
Dr_Kakashi,Livia,11,2,5.50
Durandal,HelanaAshryvr,2,0,NA
Durandal,Lanvin,2,0,NA
Durandal,squirrel1988,2,0,NA
emilyzhao,squidgetx,7,1,7.00
Fireheart,Valetta6789,6,3,2.00
Fireheart,Kyle,5,2,2.50
Fireheart,micerang,7,1,7.00
Fireheart,Zamiel,2,0,NA
Fireheart,asaelr,6,1,6.00
Fireheart,Livia,7,2,3.50
Fireheart,scharkbite,5,2,2.50
Fireheart,IAMJEFF,7,0,NA
Floriman,kimbifille,7,2,3.50
Floriman,Valetta6789,9,3,3.00
Floriman,asaelr,4,1,4.00
Floriman,Kyle,12,3,4.00
Floriman,florrat2,3,1,3.00
Floriman,RaKXeR,6,2,3.00
Floriman,scharkbite,14,3,4.67
florrat2,timotree,0,0,NA
florrat2,postmans,0,0,NA
florrat2,sankala,14,1,14.00
HelanaAshryvr,Lanvin,28,4,7.00
HelanaAshryvr,squirrel1988,4,1,4.00
IAMJEFF,kimbifille,0,0,NA
IAMJEFF,asaelr,3,0,NA
IAMJEFF,Zamiel,3,1,3.00
IAMJEFF,Valetta6789,2,0,NA
IAMJEFF,scharkbite,0,0,NA
indego,melwen,7,1,7.00
Jake_Stiles,solarstar92,0,0,NA
kimbifille,pianoblook,9,3,3.00
kimbifille,piper,7,3,2.33
kimbifille,kooolant,14,2,7.00
Kyle,scharkbite,15,5,3.00
Kyle,asaelr,10,2,5.00
Kyle,Zamiel,18,2,9.00
Kyle,micerang,24,1,24.00
Kyle,TimeHoodie,20,3,6.67
Lanvin,VerySloppyTwo,18,2,9.00
Lanvin,Lel0uch,18,5,3.60
Lanvin,melwen,16,2,8.00
Lanvin,rz,6,1,6.00
Lanvin,indego,18,3,6.00
Lanvin,Wittvector,22,4,5.50
Lanvin,MangoPie,32,8,4.00
Lanvin,squirrel1988,10,2,5.00
Lel0uch,MarkusKahlsen,4,1,4.00
Lel0uch,melwen,14,4,3.50
Lel0uch,indego,13,5,2.60
Lel0uch,derekcheah,3,1,3.00
Lel0uch,squirrel1988,3,2,1.50
Lel0uch,frosty104,26,8,3.25
Libster,sjdrodge,7,1,7.00
Libster,timotree,0,0,NA
Libster,Valetta6789,2,0,NA
Libster,florrat2,14,2,7.00
Libster,RaKXeR,3,1,3.00
Libster,sankala,16,2,8.00
Libster,Zamiel,17,4,4.25
Libster,NoMercy,9,2,4.50
Libster,Razvogor,8,1,8.00
Libster,frog-kun,0,0,NA
Libster,Razgovor,11,1,11.00
Libster,NotRaKXeR,0,0,NA
Livia,invarse,0,0,NA
melwen,ntinta,6,1,6.00
melwen,squirrel1988,5,2,2.50
melwen,scharkbite,24,3,8.00
melwen,sephiroth,24,4,6.00
micerang,scharkbite,7,0,NA
NoMercy,florrat2,8,1,8.00
NoMercy,Zamiel,10,2,5.00
Pablo-,nitawa,8,4,2.00
pianoblook,piper,10,5,2.00
RaKXeR,florrat2,4,1,4.00
RaKXeR,Valetta6789,3,1,3.00
RaKXeR,Zamiel,2,0,NA
Razvogor,florrat2,0,0,NA
rz,wump,9,1,9.00
Syrah,mugsly,0,0,NA
Syrah,scepheo,0,0,NA
TheDaniMan,indego,1,0,NA
TheDaniMan,doeo,4,0,NA
TheDaniMan,lilyxy,7,0,NA
TimeHoodie,kimbifille,17,2,8.50
TimeHoodie,melwen,18,2,9.00
Valetta6789,florrat2,2,1,2.00
VerySloppyTwo,sephiroth,5,2,2.50
Zamiel,kimbifille,1,0,NA
Zamiel,micerang,16,1,16.00
Zamiel,scharkbite,8,1,8.00
Zamiel,florrat2,11,2,5.50
Zamiel,sankala,15,2,7.50
