variant,attempts,won
Null (4 Suits),22,1
Rainbow (6 Suits),19,1
No Variant,13,1
Pink (5 Suits),11,1
Rainbow & White (6 Suits),5,1
6 Suits,4,1
Rainbow & Pink (6 Suits),4,1
Muddy Rainbow (4 Suits),3,1
White (5 Suits),3,1
Rainbow (5 Suits),3,1
Muddy Rainbow (3 Suits),3,1
Null (6 Suits),3,1
Black (5 Suits),2,1
4 Suits,2,1
Black (6 Suits),2,1
White & Null (5 Suits),2,1
Rainbow & Null (6 Suits),2,1
Null (5 Suits),2,1
3 Suits,1,1
Rainbow & Brown (6 Suits),1,1
Brown (5 Suits),1,1
Rainbow-Ones (5 Suits),1,1
Pink & Brown (5 Suits),4,0
Pink (3 Suits),3,0
Brown (4 Suits),3,0
Rainbow & Dark Pink (5 Suits),3,0
Dark Rainbow (5 Suits),3,0
Black & Pink (6 Suits),2,0
Prism (3 Suits),2,0
Brown (3 Suits),2,0
Duck (3 Suits),2,0
Clue Starved (6 Suits),2,0
Rainbow & Light Pink (5 Suits),2,0
White-Ones & Light Pink (4 Suits),2,0
Dual-Color Mix,2,0
Rainbow & Brown (3 Suits),2,0
Dark Brown (5 Suits),2,0
Rainbow & White (5 Suits),1,0
Pink & White (4 Suits),1,0
Dual-Color (3 Suits),1,0
Prism (4 Suits),1,0
Rainbow & Brown (5 Suits),1,0
Dark Null (5 Suits),1,0
Rainbow (4 Suits),1,0
Pink (6 Suits),1,0
Gray (5 Suits),1,0
Dark Pink (6 Suits),1,0
