variant,attempts,won
Rainbow & Muddy Rainbow (5 Suits),4,1
Brown-Ones (5 Suits),3,1
Rainbow & Light Pink (5 Suits),3,1
Pink (5 Suits),2,1
Rainbow & Omni (5 Suits),2,1
White-Ones & Brown (5 Suits),2,1
Pink & Brown (5 Suits),1,1
White-Ones & Muddy Rainbow (5 Suits),1,1
White-Fives & Prism (5 Suits),1,1
Special Mix (5 Suits),87,0
Black (5 Suits),14,0
Pink & White (5 Suits),5,0
Pink & Omni (5 Suits),5,0
No Variant,4,0
Pink-Fives & Dark Rainbow (5 Suits),4,0
Rainbow & Gray Pink (5 Suits),3,0
Null-Ones (5 Suits),3,0
Rainbow & Pink (5 Suits),3,0
Rainbow & White (5 Suits),3,0
Pink-Ones & Dark Brown (5 Suits),2,0
Gray Pink (5 Suits),2,0
Dark Brown (5 Suits),2,0
Dark Pink (5 Suits),2,0
Brown & Muddy Rainbow (5 Suits),2,0
Omni & Prism (5 Suits),2,0
Rainbow-Fives (5 Suits),1,0
White-Ones (5 Suits),1,0
Pink & Dark Brown (5 Suits),1,0
Dark Omni (5 Suits),1,0
White-Fives & Pink (5 Suits),1,0
Brown-Ones & White (5 Suits),1,0
Pink & Light Pink (5 Suits),1,0
Rainbow & Brown (5 Suits),1,0
Null (5 Suits),1,0
Cocoa Rainbow (5 Suits),1,0
