No Variant,8,1
Clue Starved (5 Suits),4,1
Pink (5 Suits),3,1
Rainbow & Light Pink (5 Suits),3,1
Omni-Ones & Null (5 Suits),2,1
Light-Pink-Fives (5 Suits),2,1
Rainbow (5 Suits),1,1
Pink & Muddy Rainbow (5 Suits),1,1
White-Ones & Light Pink (5 Suits),1,1
Ambiguous & Light Pink (5 Suits),1,1
White & Prism (5 Suits),1,1
Up or Down & Rainbow (5 Suits),3,0
Prism (5 Suits),3,0
Up or Down (5 Suits),1,0
Rainbow-Ones (5 Suits),1,0
Rainbow & Pink (5 Suits),1,0
Reversed (5 Suits),1,0
Muddy Rainbow (5 Suits),1,0
