variant,attempts,won
Pink (5 Suits),5,1
White (5 Suits),2,1
Rainbow (5 Suits),2,1
No Variant,1,1
Dual-Color (5 Suits),1,1
Ambiguous & Light Pink (5 Suits),1,1
Cocoa Rainbow (5 Suits),5,0
Dark Null (5 Suits),5,0
Rainbow & Light Pink (5 Suits),3,0
Brown (5 Suits),2,0
Omni (5 Suits),2,0
Gray (5 Suits),2,0
Brown-Fives & Pink (5 Suits),2,0
Gray Reversed (5 Suits),2,0
Rainbow & Pink (5 Suits),1,0
Rainbow-Ones (5 Suits),1,0
Brown & Gray (5 Suits),1,0
Up or Down & Rainbow (5 Suits),1,0
Muddy-Rainbow-Ones & Light Pink (5 Suits),1,0
Reversed (5 Suits),1,0
Rainbow Reversed (5 Suits),1,0
Black & White (5 Suits),1,0
Special Mix (5 Suits),1,0
Muddy Rainbow & Prism (5 Suits),1,0
