Black & Rainbow (5 Suits),6,1
Rainbow & Muddy Rainbow (5 Suits),5,1
Clue Starved & Prism (5 Suits),2,1
No Variant,1,1
Rainbow (5 Suits),1,1
Black (5 Suits),1,1
Muddy Rainbow (5 Suits),1,1
Pink & Omni (5 Suits),1,1
Omni (5 Suits),1,1
Clue Starved & Rainbow (5 Suits),1,1
Brown & Gray (5 Suits),15,0
Up or Down (5 Suits),8,0
Gray (5 Suits),7,0
Omni & Dark Rainbow (5 Suits),6,0
Black & Omni (5 Suits),5,0
Pink & Gray (5 Suits),4,0
Duck (5 Suits),2,0
Clue Starved (5 Suits),2,0
White (5 Suits),1,0
Dark Pink (5 Suits),1,0
Omni-Ones & Null (5 Suits),1,0
Alternating Clues & Dark Pink (5 Suits),1,0
Extremely Ambiguous & Cocoa Rainbow (5 Suits),1,0
