Pink & Omni (6 Suits),7,1
Pink & Brown (6 Suits),5,1
White & Brown (6 Suits),4,1
Rainbow & White (6 Suits),3,1
Throw It in a Hole (6 Suits),3,1
White & Prism (6 Suits),3,1
Up or Down & Brown (6 Suits),2,1
Rainbow (6 Suits),1,1
Omni (6 Suits),1,1
Pink & White (6 Suits),1,1
Clue Starved & Rainbow (6 Suits),1,1
Dual-Color & Pink (6 Suits),1,1
Rainbow & Brown (6 Suits),5,0
Brown (6 Suits),4,0
Pink (6 Suits),2,0
Clue Starved & Prism (6 Suits),2,0
Pink-Fives (6 Suits),1,0
Rainbow & Pink (6 Suits),1,0
6 Suits,1,0
Up or Down (6 Suits),1,0
Muddy-Rainbow-Fives & White (6 Suits),1,0
Cow & Pig (6 Suits),1,0
