variant,attempts,won
6 Suits,5,1
Pink & Brown (6 Suits),5,1
Rainbow (6 Suits),4,1
Pink & Light Pink (6 Suits),4,1
Rainbow & White (6 Suits),3,1
Dual-Color (6 Suits),3,1
Pink-Fives & White (6 Suits),3,1
Clue Starved & Pink (6 Suits),3,1
Null (6 Suits),2,1
White (6 Suits),1,1
Brown (6 Suits),1,1
Pink (6 Suits),1,1
Pink-Fives & Light Pink (6 Suits),1,1
Reversed (6 Suits),1,1
Throw It in a Hole & Rainbow (6 Suits),1,1
Prism (6 Suits),1,1
Up or Down (6 Suits),2,0
Pink & White (6 Suits),2,0
Totally Blind (6 Suits),1,0
Rainbow & Pink (6 Suits),1,0
