No Variant,21,1
Rainbow & Light Pink (5 Suits),3,1
Black (5 Suits),2,1
Rainbow (5 Suits),2,1
Muddy Rainbow (5 Suits),2,1
Dual-Color (5 Suits),1,1
Pink & Muddy Rainbow (5 Suits),1,1
White-Ones & Light Pink (5 Suits),1,1
Brown-Ones & Pink (5 Suits),1,1
Cocoa Rainbow (5 Suits),6,0
Dark Brown (5 Suits),4,0
Brown (5 Suits),2,0
Rainbow-Ones & White (5 Suits),2,0
Omni (5 Suits),2,0
White (5 Suits),2,0
Throw It in a Hole (5 Suits),2,0
Rainbow & Pink (5 Suits),1,0
Muddy-Rainbow-Ones & Light Pink (5 Suits),1,0
Dark Rainbow (5 Suits),1,0
Brown-Fives & Pink (5 Suits),1,0
