variant,attempts,won
Throw It in a Hole & Rainbow (4 Suits),14,1
White & Brown (4 Suits),9,1
Omni (4 Suits),8,1
Prism (4 Suits),8,1
Throw It in a Hole (4 Suits),5,1
Duck (4 Suits),4,1
Throw It in a Hole & Brown (4 Suits),4,1
Throw It in a Hole & Pink (4 Suits),3,1
Throw It in a Hole & Omni (4 Suits),3,1
White-Fives & Light Pink (4 Suits),2,1
Muddy Rainbow (4 Suits),2,1
Pink (4 Suits),1,1
Extremely Ambiguous (4 Suits),1,1
Rainbow & Pink (4 Suits),1,1
Throw It in a Hole & White (4 Suits),1,1
Throw It in a Hole & Prism (4 Suits),1,1
Number Blind (4 Suits),7,0
