variant,attempts,won
Throw It in a Hole (6 Suits),6,1
Clue Starved (6 Suits),4,1
Reversed (6 Suits),1,1
Light Pink (6 Suits),1,1
Cow & Pig (6 Suits),4,0
Pink & Omni (6 Suits),4,0
Clue Starved & White (6 Suits),3,0
White (6 Suits),2,0
Muddy Rainbow (6 Suits),2,0
Muddy-Rainbow-Fives & White (6 Suits),2,0
Up or Down & Pink (6 Suits),2,0
Brown-Ones & White (6 Suits),2,0
White-Ones & White (6 Suits),1,0
Omni-Fives & Light Pink (6 Suits),1,0
Brown (6 Suits),1,0
Up or Down & Prism (6 Suits),1,0
Rainbow & Omni (6 Suits),1,0
