variant,attempts,won
Black & Rainbow (5 Suits),16,1
Black (5 Suits),7,1
Rainbow & Dark Pink (5 Suits),4,1
Rainbow & Pink (5 Suits),4,1
Brown (5 Suits),3,1
No Variant,2,1
Black & Pink (5 Suits),2,1
Rainbow-Ones (5 Suits),2,1
Dual-Color (5 Suits),2,1
Up or Down & Pink (5 Suits),2,1
White (5 Suits),1,1
Pink (5 Suits),1,1
Rainbow (5 Suits),1,1
Muddy Rainbow (5 Suits),1,1
White & Brown (5 Suits),1,1
Brown & Dark Pink (5 Suits),1,1
Rainbow-Fives (5 Suits),1,1
White-Fives & Rainbow (5 Suits),1,1
Clue Starved (5 Suits),1,1
White Reversed (5 Suits),1,1
Gray Pink (5 Suits),1,1
Dark Rainbow (5 Suits),5,0
Pink-Fives (5 Suits),5,0
Rainbow-Ones & Pink (5 Suits),4,0
Cow & Pig (5 Suits),2,0
White & Dark Omni (5 Suits),2,0
Black & Omni (5 Suits),2,0
Rainbow & Brown (5 Suits),1,0
White & Light Pink (5 Suits),1,0
