Rainbow (6 Suits),10,1
No Variant,7,1
Pink-Fives (5 Suits),6,1
6 Suits,5,1
4 Suits,5,1
Ambiguous (6 Suits),5,1
3 Suits,4,1
Black & White (6 Suits),4,1
White & Brown (6 Suits),4,1
Black (6 Suits),3,1
Brown (6 Suits),3,1
Omni (6 Suits),3,1
White & Dark Rainbow (6 Suits),3,1
Rainbow & Prism (6 Suits),3,1
Rainbow (4 Suits),2,1
White (5 Suits),2,1
Rainbow-Ones & Pink (5 Suits),2,1
Rainbow (5 Suits),1,1
Brown (5 Suits),1,1
Pink (3 Suits),1,1
Pink (6 Suits),1,1
Rainbow-Ones (5 Suits),1,1
Rainbow & Brown (5 Suits),1,1
Rainbow & Dark Pink (6 Suits),1,1
Pink & Dark Rainbow (5 Suits),1,1
Rainbow-Ones & Pink (6 Suits),1,1
Rainbow-Ones & Brown (3 Suits),1,1
Rainbow-Ones & Brown (4 Suits),1,1
Rainbow-Ones & Brown (5 Suits),1,1
White-Fives (6 Suits),1,1
Reversed (3 Suits),1,1
Rainbow Reversed (5 Suits),1,1
Light Pink (5 Suits),1,1
Black & Omni (6 Suits),1,1
Black (5 Suits),9,0
White (6 Suits),7,0
Black & Omni (5 Suits),5,0
Up or Down (6 Suits),4,0
White (3 Suits),4,0
Gray (6 Suits),4,0
Rainbow (3 Suits),4,0
Null (6 Suits),4,0
Pink & Dark Rainbow (6 Suits),4,0
Black & Pink (6 Suits),4,0
Null (5 Suits),3,0
Pink-Fives (6 Suits),3,0
Rainbow & Brown (3 Suits),3,0
Up or Down & Rainbow (5 Suits),3,0
Prism (6 Suits),3,0
Black & Pink (5 Suits),2,0
Pink & Brown (6 Suits),2,0
Pink & White (6 Suits),2,0
Extremely Ambiguous (4 Suits),2,0
Cocoa Rainbow (6 Suits),2,0
Rainbow & White (4 Suits),2,0
Pink & White (5 Suits),2,0
Dark Brown (6 Suits),2,0
White & Light Pink (5 Suits),2,0
Special Mix (5 Suits),2,0
Null (4 Suits),2,0
Dark Null (6 Suits),2,0
Ambiguous Mix,2,0
Dual-Color (5 Suits),1,0
Brown (3 Suits),1,0
Black & White (5 Suits),1,0
Rainbow-Ones & Brown (6 Suits),1,0
Alternating Clues (3 Suits),1,0
Pink (5 Suits),1,0
Black Reversed (5 Suits),1,0
Rainbow & Brown (6 Suits),1,0
Cocoa Rainbow (5 Suits),1,0
Dual-Color & Pink (6 Suits),1,0
