variant,attempts,won
Rainbow (6 Suits),10,1
Gray (6 Suits),5,1
Rainbow & Brown (6 Suits),4,1
Muddy Rainbow (6 Suits),3,1
Muddy-Rainbow-Ones & Light Pink (5 Suits),3,1
6 Suits,2,1
No Variant,2,1
White (5 Suits),2,1
Black (5 Suits),2,1
4 Suits,2,1
Dual-Color (6 Suits),2,1
3 Suits,2,1
Rainbow-Ones & White (6 Suits),2,1
Dark Pink (6 Suits),2,1
Rainbow (5 Suits),1,1
White (6 Suits),1,1
Black & White (6 Suits),1,1
White (4 Suits),1,1
Dual-Color (5 Suits),1,1
Black & Rainbow (6 Suits),9,0
Rainbow-Ones (6 Suits),5,0
Cocoa Rainbow (5 Suits),5,0
Brown (5 Suits),4,0
Black (6 Suits),4,0
Dark Brown (6 Suits),4,0
Null (6 Suits),4,0
Gray Pink (6 Suits),4,0
Rainbow-Ones & Black (6 Suits),4,0
Up or Down & Rainbow (6 Suits),3,0
Rainbow & Light Pink (5 Suits),3,0
Light Pink & Gray (6 Suits),3,0
Pink & Dark Rainbow (6 Suits),2,0
Color Mute (6 Suits),2,0
Gray Pink (5 Suits),2,0
Pink (5 Suits),2,0
Black & Omni (6 Suits),2,0
Extremely Ambiguous (5 Suits),2,0
White & Brown (6 Suits),2,0
Omni (6 Suits),2,0
Rainbow-Ones & White (5 Suits),2,0
White-Fives (6 Suits),2,0
Throw It in a Hole & Pink (6 Suits),2,0
Light Pink (4 Suits),2,0
Pink (6 Suits),1,0
Rainbow (3 Suits),1,0
Pink-Fives (6 Suits),1,0
Rainbow & Pink (5 Suits),1,0
Rainbow-Ones (5 Suits),1,0
Pink (4 Suits),1,0
White (3 Suits),1,0
Ambiguous (6 Suits),1,0
Special Mix (6 Suits),1,0
Clue Starved (5 Suits),1,0
Clue Starved (6 Suits),1,0
Reversed (4 Suits),1,0
Brown (6 Suits),1,0
Rainbow & Gray Pink (5 Suits),1,0
Rainbow-Ones & Prism (6 Suits),1,0
