variant,attempts,won
Brown & Gray (5 Suits),8,1
Pink & Gray Pink (6 Suits),7,1
Black (6 Suits),6,1
Null (6 Suits),6,1
White & Light Pink (5 Suits),6,1
Rainbow & Dark Brown (5 Suits),6,1
Dark Omni (6 Suits),6,1
No Variant,4,1
Pink & Brown (6 Suits),4,1
White & Dark Brown (6 Suits),4,1
Pink-Ones (4 Suits),4,1
Black (5 Suits),3,1
Rainbow & White (5 Suits),3,1
Up or Down & White (6 Suits),3,1
White (4 Suits),2,1
Omni (4 Suits),2,1
Up or Down & Rainbow (5 Suits),2,1
Rainbow-Fives & White (6 Suits),2,1
Cow & Pig (4 Suits),2,1
3 Suits,1,1
Rainbow (4 Suits),1,1
4 Suits,1,1
6 Suits,1,1
White (6 Suits),1,1
White (5 Suits),1,1
Muddy Rainbow (6 Suits),1,1
Pink (6 Suits),1,1
Pink (5 Suits),1,1
Null (4 Suits),1,1
Rainbow-Fives & White (3 Suits),1,1
Muddy Rainbow (4 Suits),1,1
Dark Null (5 Suits),1,1
Black & Gray (6 Suits),1,1
Up or Down (6 Suits),9,0
Pink & Null (3 Suits),9,0
Gray Pink (5 Suits),7,0
Black & Rainbow (6 Suits),6,0
Black & Omni (6 Suits),6,0
Dark Null (6 Suits),4,0
Muddy Rainbow & Gray (5 Suits),4,0
Rainbow (6 Suits),3,0
Black & Brown (5 Suits),3,0
Pink & Dark Rainbow (5 Suits),3,0
Cocoa Rainbow (6 Suits),3,0
White & Null (3 Suits),3,0
Clue Starved & Prism (5 Suits),3,0
Pink-Fives & Rainbow (6 Suits),2,0
Rainbow (3 Suits),2,0
Up or Down & Pink (6 Suits),2,0
Null (3 Suits),2,0
Black & Dark Pink (6 Suits),2,0
Black & Rainbow (5 Suits),1,0
Black & Brown (6 Suits),1,0
Black & White (6 Suits),1,0
Pink (4 Suits),1,0
Rainbow & White (4 Suits),1,0
Clue Starved & White (5 Suits),1,0
Omni-Ones & Dark Brown (6 Suits),1,0
Pink-Ones (6 Suits),1,0
Brown-Fives (3 Suits),1,0
Gray Pink (6 Suits),1,0
