variant,attempts,won
Pink & Gray Pink (6 Suits),7,1
Black (6 Suits),6,1
Null (6 Suits),6,1
Dark Omni (6 Suits),6,1
Pink & Brown (6 Suits),4,1
White & Dark Brown (6 Suits),4,1
Up or Down & White (6 Suits),3,1
Rainbow-Fives & White (6 Suits),2,1
6 Suits,1,1
White (6 Suits),1,1
Muddy Rainbow (6 Suits),1,1
Pink (6 Suits),1,1
Black & Gray (6 Suits),1,1
Up or Down (6 Suits),9,0
Black & Rainbow (6 Suits),6,0
Black & Omni (6 Suits),6,0
Dark Null (6 Suits),4,0
Rainbow (6 Suits),3,0
Cocoa Rainbow (6 Suits),3,0
Pink-Fives & Rainbow (6 Suits),2,0
Up or Down & Pink (6 Suits),2,0
Black & Dark Pink (6 Suits),2,0
Black & Brown (6 Suits),1,0
Black & White (6 Suits),1,0
Omni-Ones & Dark Brown (6 Suits),1,0
Pink-Ones (6 Suits),1,0
Gray Pink (6 Suits),1,0
