Pink & Null (5 Suits),31,1
Muddy Rainbow (5 Suits),10,1
Pink & Brown (5 Suits),10,1
Brown (5 Suits),8,1
Ambiguous & Rainbow (5 Suits),8,1
Dual-Color (5 Suits),8,1
Ambiguous & White (5 Suits),6,1
Pink (5 Suits),5,1
Omni-Fives (5 Suits),5,1
White-Fives (5 Suits),5,1
Muddy-Rainbow-Ones (5 Suits),5,1
Brown-Fives (5 Suits),5,1
Ambiguous & Prism (5 Suits),4,1
Pink-Ones (5 Suits),4,1
Brown-Ones (5 Suits),4,1
Light-Pink-Ones (5 Suits),4,1
Up or Down & Light Pink (5 Suits),4,1
No Variant,2,1
Deceptive-Ones (5 Suits),2,1
Rainbow-Ones (5 Suits),2,1
Rainbow-Fives (5 Suits),2,1
Light Pink & Prism (5 Suits),2,1
Prism Reversed (5 Suits),2,1
Rainbow & White (5 Suits),2,1
Pink & Light Pink (5 Suits),2,1
Brown-Ones & White (5 Suits),2,1
White (5 Suits),1,1
Light Pink (5 Suits),1,1
Pink-Ones & White (5 Suits),1,1
Rainbow-Ones & Rainbow (5 Suits),1,1
Ambiguous & Pink (5 Suits),1,1
Rainbow Reversed (5 Suits),1,1
Rainbow-Ones & Prism (5 Suits),1,1
Rainbow & Muddy Rainbow (5 Suits),1,1
Pink-Ones & Rainbow (5 Suits),1,1
Rainbow-Fives & Rainbow (5 Suits),1,1
Up or Down & Prism (5 Suits),13,0
Omni (5 Suits),8,0
Pink & Muddy Rainbow (5 Suits),7,0
Pink-Fives (5 Suits),5,0
Clue Starved (5 Suits),5,0
Color Mute (5 Suits),3,0
Throw It in a Hole (5 Suits),3,0
Null (5 Suits),1,0
Rainbow & Prism (5 Suits),1,0
White-Ones (5 Suits),1,0
