variant,attempts,won
Rainbow & Dark Pink (5 Suits),16,1
Black Reversed (5 Suits),13,1
Dark Rainbow Reversed (5 Suits),11,1
White Reversed (5 Suits),9,1
Rainbow & Light Pink (5 Suits),8,1
White & Dark Rainbow (5 Suits),7,1
Rainbow & Gray Pink (5 Suits),7,1
Number Blind (5 Suits),7,1
Ambiguous & Dark Rainbow (5 Suits),7,1
Brown-Ones & Rainbow (5 Suits),5,1
Black & Omni (5 Suits),5,1
White & Light Pink (5 Suits),5,1
White & Prism (5 Suits),4,1
White & Omni (5 Suits),4,1
White-Ones & Rainbow (5 Suits),4,1
White-Ones & Brown (5 Suits),4,1
Light-Pink-Fives (5 Suits),4,1
Brown-Ones & Omni (5 Suits),3,1
White & Brown (5 Suits),2,1
Up or Down (5 Suits),2,1
Muddy Rainbow & Dark Prism (5 Suits),2,1
White-Fives & White (5 Suits),2,1
Rainbow & Prism (5 Suits),1,1
Pink & White (5 Suits),1,1
Brown & Prism (5 Suits),1,1
White-Ones & Prism (5 Suits),1,1
White-Ones (5 Suits),1,1
Totally Blind (5 Suits),1,1
Color Blind (5 Suits),1,1
Ambiguous & Brown (5 Suits),1,1
Brown-Ones & Muddy Rainbow (5 Suits),1,1
Deceptive-Fives (5 Suits),1,1
White-Fives & Rainbow (5 Suits),1,1
Black & Muddy Rainbow (5 Suits),8,0
White & Dark Prism (5 Suits),5,0
Cow & Pig (5 Suits),4,0
White-Ones & Pink (5 Suits),4,0
Color Mute (5 Suits),3,0
Brown & Dark Rainbow (5 Suits),3,0
Cocoa Rainbow (5 Suits),2,0
Muddy-Rainbow-Fives & Pink (5 Suits),1,0
Prism & Gray (5 Suits),1,0
