variant,attempts,won
Rainbow & Gray (5 Suits),19,1
Black & Null (5 Suits),14,1
Gray (5 Suits),8,1
Dark Null (5 Suits),6,1
Null & Dark Omni (5 Suits),5,1
Omni & Dark Pink (5 Suits),5,1
Pink & Dark Brown (5 Suits),3,1
White & Dark Rainbow (5 Suits),2,1
White & Dark Brown (5 Suits),2,1
White & Dark Pink (5 Suits),1,1
Pink & Gray (5 Suits),1,1
Black & White (5 Suits),9,0
Black & Rainbow (5 Suits),8,0
Omni & Dark Null (5 Suits),8,0
Dark Rainbow (5 Suits),6,0
Dark Pink (5 Suits),4,0
Black & Brown (5 Suits),3,0
Omni & Dark Rainbow (5 Suits),3,0
Brown & Dark Rainbow (5 Suits),3,0
Black & Omni (5 Suits),2,0
Pink & Dark Rainbow (5 Suits),2,0
Brown & Cocoa Rainbow (5 Suits),2,0
Brown & Gray (5 Suits),1,0
