Brown (5 Suits),8,1
White (6 Suits),7,1
Dual-Color & Rainbow (6 Suits),6,1
No Variant,5,1
Black & Pink (6 Suits),5,1
Up or Down & White (6 Suits),5,1
Extremely Ambiguous (5 Suits),5,1
Pink-Fives (6 Suits),4,1
Rainbow (3 Suits),4,1
Rainbow (6 Suits),3,1
Dark Brown (6 Suits),3,1
Dark Pink (6 Suits),3,1
3 Suits,3,1
Extremely Ambiguous (4 Suits),3,1
Black & Rainbow (5 Suits),3,1
Pink-Fives (3 Suits),3,1
Dark Omni (6 Suits),3,1
Ambiguous (4 Suits),3,1
Rainbow (5 Suits),2,1
Pink (3 Suits),2,1
White & Dark Rainbow (5 Suits),2,1
Gray (6 Suits),2,1
White (3 Suits),2,1
Pink & Brown (5 Suits),2,1
White & Brown (3 Suits),2,1
Brown-Ones & Gray Pink (6 Suits),2,1
6 Suits,1,1
4 Suits,1,1
Omni (5 Suits),1,1
Omni (4 Suits),1,1
Pink (5 Suits),1,1
White (4 Suits),1,1
Dark Rainbow (5 Suits),1,1
Null (3 Suits),1,1
Muddy Rainbow (6 Suits),1,1
Gray (5 Suits),1,1
Pink-Fives (5 Suits),1,1
Ambiguous (6 Suits),1,1
Null-Ones (5 Suits),1,1
Up or Down & Light Pink (5 Suits),1,1
Pink & White (5 Suits),7,0
Black & Null (5 Suits),7,0
Dark Brown (5 Suits),6,0
Special Mix (5 Suits),6,0
Black & Dark Rainbow (6 Suits),6,0
White & Dark Brown (6 Suits),6,0
Rainbow & Null (6 Suits),6,0
Up or Down & Muddy Rainbow (6 Suits),5,0
Brown & Gray (5 Suits),4,0
Black & Rainbow (6 Suits),4,0
Black & White (6 Suits),4,0
Up or Down (6 Suits),4,0
Cocoa Rainbow (6 Suits),4,0
Rainbow & Gray (5 Suits),4,0
Up or Down & Omni (5 Suits),4,0
Up or Down & Rainbow (6 Suits),3,0
Brown & Dark Rainbow (6 Suits),3,0
Brown (3 Suits),3,0
Rainbow & Pink (5 Suits),3,0
Rainbow-Ones & Rainbow (6 Suits),3,0
Up or Down & Pink (6 Suits),3,0
Rainbow & White (5 Suits),3,0
Pink & Dark Rainbow (6 Suits),2,0
Dark Rainbow (6 Suits),2,0
Black (5 Suits),2,0
Rainbow & Brown (5 Suits),2,0
Brown & Null (6 Suits),2,0
Dark Omni (5 Suits),2,0
Ambiguous & Brown (5 Suits),2,0
Dual-Color & White (6 Suits),2,0
Dual-Color & Dark Rainbow (6 Suits),2,0
Rainbow & Brown (3 Suits),1,0
Omni (3 Suits),1,0
Rainbow & Brown (6 Suits),1,0
Black & Gray (6 Suits),1,0
Rainbow & Omni (6 Suits),1,0
Null (4 Suits),1,0
Rainbow & White (3 Suits),1,0
Pink & White (3 Suits),1,0
Up or Down & Pink (5 Suits),1,0
Up or Down & Brown (5 Suits),1,0
Up or Down & Brown (6 Suits),1,0
Pink & Dark Rainbow (5 Suits),1,0
Dual-Color (6 Suits),1,0
Gray Pink (6 Suits),1,0
Ambiguous Mix,1,0
Dual-Color Mix,1,0
Black & Pink (5 Suits),1,0
