variant,attempts,won
Extremely Ambiguous (6 Suits),5,1
Ambiguous Mix,4,1
Rainbow & White (6 Suits),3,1
Ambiguous & Dual-Color,3,1
Dark Omni (6 Suits),3,0
Pink-Fives (6 Suits),3,0
Black & Dark Rainbow (6 Suits),2,0
Pink & White (6 Suits),2,0
Dual-Color Mix,2,0
Black & Gray (6 Suits),2,0
Black (6 Suits),1,0
Up or Down & Rainbow (6 Suits),1,0
Gray & Dark Brown (6 Suits),1,0
Dark Rainbow (6 Suits),1,0
Light Pink (6 Suits),1,0
Dual-Color (6 Suits),1,0
Black & Omni (6 Suits),1,0
Pink-Fives & Rainbow (6 Suits),1,0
Pink & Gray (6 Suits),1,0
