variant,attempts,won
No Variant,11,1
Brown (4 Suits),9,1
4 Suits,7,1
Dark Omni (6 Suits),6,1
Brown-Ones & Dark Omni (6 Suits),6,1
White (6 Suits),5,1
Muddy Rainbow (6 Suits),3,1
Rainbow & White (5 Suits),3,1
Rainbow & Brown (6 Suits),2,1
Pink (6 Suits),2,1
Pink & Brown (5 Suits),2,1
Pink-Ones (6 Suits),2,1
Rainbow (5 Suits),1,1
6 Suits,1,1
Rainbow (6 Suits),1,1
Rainbow & White (6 Suits),1,1
Rainbow & Pink (6 Suits),1,1
Dual-Color (6 Suits),1,1
Pink-Ones & Brown (6 Suits),1,1
Dual-Color & Muddy Rainbow (6 Suits),1,1
Null (6 Suits),6,0
Black & Rainbow (6 Suits),5,0
Rainbow (4 Suits),4,0
Pink (4 Suits),4,0
Black & Brown (6 Suits),4,0
Up or Down & Rainbow (6 Suits),3,0
Black & Rainbow (5 Suits),3,0
Up or Down & Brown (6 Suits),3,0
Dual-Color Mix,3,0
Pink & Cocoa Rainbow (6 Suits),3,0
Pink & White (3 Suits),2,0
3 Suits,2,0
Brown (5 Suits),2,0
White (5 Suits),2,0
Pink-Ones (5 Suits),2,0
Muddy Rainbow (4 Suits),2,0
Pink-Fives & Muddy Rainbow (5 Suits),2,0
Pink-Fives (6 Suits),1,0
Alternating Clues (4 Suits),1,0
White & Brown (4 Suits),1,0
Pink & White (6 Suits),1,0
Rainbow & Pink (5 Suits),1,0
Up or Down (6 Suits),1,0
Brown & Omni (6 Suits),1,0
Ambiguous Mix,1,0
Cocoa Rainbow (6 Suits),1,0
Dark Brown (6 Suits),1,0
White & Dark Omni (6 Suits),1,0
Dark Pink (5 Suits),1,0
Up or Down & Pink (6 Suits),1,0
Deceptive-Ones & Gray Pink (6 Suits),1,0
