Rainbow & Brown (6 Suits),3,1
Rainbow & Light Pink (6 Suits),2,1
Rainbow (6 Suits),1,1
6 Suits,1,1
Pink-Fives (6 Suits),1,1
Omni (6 Suits),1,1
Dual-Color & Pink (6 Suits),1,1
Muddy Rainbow & Prism (6 Suits),1,1
Up or Down & Brown (6 Suits),4,0
White & Prism (6 Suits),4,0
Ambiguous (6 Suits),3,0
Up or Down (6 Suits),2,0
White & Brown (6 Suits),2,0
Null (6 Suits),2,0
Pink-Fives & Rainbow (6 Suits),2,0
White-Ones (6 Suits),2,0
White & Muddy Rainbow (6 Suits),2,0
Up or Down & Omni (6 Suits),2,0
Up or Down & Prism (6 Suits),2,0
Omni & Muddy Rainbow (6 Suits),2,0
Clue Starved (6 Suits),1,0
Pink (6 Suits),1,0
Rainbow-Ones & Light Pink (6 Suits),1,0
Omni-Fives & Rainbow (6 Suits),1,0
Up or Down & White (6 Suits),1,0
Pink & Brown (6 Suits),1,0
Up or Down & Rainbow (6 Suits),1,0
