variant,attempts,won
Brown-Ones & Dark Omni (6 Suits),6,1
No Variant,5,1
Dark Omni (6 Suits),4,1
Clue Starved (5 Suits),3,1
4 Suits,2,1
Pink & Brown (5 Suits),2,1
Omni-Ones & Null (5 Suits),2,1
Pink-Ones (6 Suits),2,1
Rainbow & Null (6 Suits),2,1
6 Suits,1,1
Rainbow & Brown (5 Suits),1,1
Rainbow & Brown (6 Suits),1,1
Dual-Color (6 Suits),1,1
Rainbow (5 Suits),1,1
Rainbow (6 Suits),1,1
Brown-Ones & Pink (5 Suits),1,1
Omni (5 Suits),1,1
Pink-Ones & Brown (6 Suits),1,1
Dual-Color & Muddy Rainbow (6 Suits),1,1
Black & Null (6 Suits),1,1
Black & Brown (6 Suits),5,0
Throw It in a Hole (6 Suits),4,0
White-Fives & Pink (6 Suits),4,0
Brown (5 Suits),3,0
Light Pink & Gray (5 Suits),3,0
Pink-Ones (5 Suits),3,0
Special Mix (5 Suits),3,0
Pink & Cocoa Rainbow (6 Suits),3,0
White-Ones & Dark Rainbow (6 Suits),3,0
Black & White (5 Suits),2,0
Cocoa Rainbow (6 Suits),2,0
White (5 Suits),2,0
White (6 Suits),2,0
Omni (6 Suits),2,0
Black (5 Suits),2,0
Black & Rainbow (6 Suits),2,0
Up or Down & Brown (6 Suits),2,0
Pink & White (5 Suits),2,0
Black & Gray Pink (6 Suits),2,0
Muddy Rainbow (4 Suits),2,0
Pink-Fives & Muddy Rainbow (5 Suits),2,0
Up or Down & Prism (6 Suits),2,0
Black & Null (5 Suits),2,0
Omni & Light Pink (6 Suits),2,0
Dark Rainbow Reversed (6 Suits),2,0
White & Brown (4 Suits),1,0
Dark Pink (6 Suits),1,0
Pink (6 Suits),1,0
Dark Brown (6 Suits),1,0
Up or Down (5 Suits),1,0
Null (6 Suits),1,0
Brown-Fives & Dark Pink (6 Suits),1,0
Ambiguous (6 Suits),1,0
Rainbow-Ones & Light Pink (6 Suits),1,0
Dual-Color & Dark Omni (6 Suits),1,0
Gray Reversed (5 Suits),1,0
Black (6 Suits),1,0
Brown-Ones & Pink (4 Suits),1,0
Rainbow & Prism (6 Suits),1,0
Deceptive-Ones & Gray Pink (6 Suits),1,0
Rainbow & Null (5 Suits),1,0
Rainbow & Dark Pink (5 Suits),1,0
