variant,attempts,won
Prism (5 Suits),6,1
Up or Down & Rainbow (5 Suits),5,1
Null (5 Suits),4,1
Clue Starved & Null (5 Suits),3,1
White & Omni (5 Suits),3,1
Dark Prism (5 Suits),2,1
Pink & Dark Brown (5 Suits),2,1
White & Muddy Rainbow (5 Suits),2,1
Rainbow & Light Pink (5 Suits),1,1
Black & Pink (5 Suits),1,1
White-Ones & Black (5 Suits),6,0
Rainbow & Gray Pink (5 Suits),3,0
Black & Rainbow (5 Suits),2,0
Rainbow-Fives & Gray (5 Suits),2,0
Dark Rainbow (5 Suits),2,0
Rainbow & Null (5 Suits),2,0
Muddy Rainbow & Prism (5 Suits),2,0
Rainbow & Dark Prism (5 Suits),1,0
Prism Reversed (5 Suits),1,0
