variant,attempts,won
Extremely Ambiguous (4 Suits),11,1
Gray Pink (5 Suits),8,1
Brown & Gray (5 Suits),8,1
Rainbow & Dark Brown (5 Suits),6,1
Light Pink (6 Suits),5,1
Black & Omni (5 Suits),5,1
Very Ambiguous (6 Suits),5,1
Pink & Gray (6 Suits),5,1
Rainbow (4 Suits),4,1
Rainbow & Brown (5 Suits),4,1
Rainbow-Ones (6 Suits),4,1
White & Dark Brown (6 Suits),4,1
Pink & Brown (3 Suits),3,1
Rainbow & White (3 Suits),3,1
White & Brown (5 Suits),3,1
Light Pink (4 Suits),3,1
Up or Down & Pink (6 Suits),3,1
Rainbow-Ones (4 Suits),3,1
Reversed (3 Suits),3,1
Rainbow Reversed (4 Suits),3,1
Black & White (6 Suits),2,1
White (3 Suits),2,1
Alternating Clues (6 Suits),2,1
Up or Down & Rainbow (5 Suits),2,1
Rainbow-Fives & White (6 Suits),2,1
Black (5 Suits),1,1
Black (6 Suits),1,1
Pink (3 Suits),1,1
4 Suits,1,1
Brown (6 Suits),1,1
Brown (3 Suits),1,1
Muddy Rainbow (6 Suits),1,1
Muddy Rainbow (3 Suits),1,1
Muddy Rainbow (4 Suits),1,1
Pink-Fives & Rainbow (5 Suits),1,1
Rainbow & Null (4 Suits),1,1
Brown & Dark Rainbow (6 Suits),1,1
Rainbow-Fives & White (3 Suits),1,1
White Reversed (4 Suits),1,1
Reversed (6 Suits),1,1
White Reversed (5 Suits),1,1
Pink & Null (3 Suits),9,0
Pink & Dark Rainbow (6 Suits),6,0
White & Null (5 Suits),5,0
Black & Brown (5 Suits),3,0
Brown & Dark Pink (6 Suits),3,0
Up or Down & Light Pink (6 Suits),3,0
White (6 Suits),2,0
Pink (5 Suits),2,0
Rainbow & Dark Pink (6 Suits),2,0
Black & Brown (6 Suits),2,0
Up or Down & Omni (6 Suits),2,0
Rainbow Reversed (5 Suits),2,0
Omni-Ones & Dark Pink (5 Suits),2,0
Null-Ones & Brown (5 Suits),2,0
No Variant,1,0
Rainbow (5 Suits),1,0
Brown (5 Suits),1,0
Dark Brown (6 Suits),1,0
Pink (6 Suits),1,0
Rainbow-Ones & Pink (6 Suits),1,0
Throw It in a Hole (6 Suits),1,0
Alternating Clues (5 Suits),1,0
Rainbow & Brown (4 Suits),1,0
Cocoa Rainbow (6 Suits),1,0
Rainbow & Dark Brown (6 Suits),1,0
Omni & Dark Rainbow (5 Suits),1,0
Brown & Gray (6 Suits),1,0
Brown-Fives (3 Suits),1,0
Throw It in a Hole & Pink (6 Suits),1,0
Black & Light Pink (5 Suits),1,0
