variant,attempts,won
Light Pink (6 Suits),5,1
Very Ambiguous (6 Suits),5,1
Pink & Gray (6 Suits),5,1
Rainbow-Ones (6 Suits),4,1
White & Dark Brown (6 Suits),4,1
Up or Down & Pink (6 Suits),3,1
Black & White (6 Suits),2,1
Alternating Clues (6 Suits),2,1
Rainbow-Fives & White (6 Suits),2,1
Black (6 Suits),1,1
Brown (6 Suits),1,1
Muddy Rainbow (6 Suits),1,1
Brown & Dark Rainbow (6 Suits),1,1
Reversed (6 Suits),1,1
Pink & Dark Rainbow (6 Suits),6,0
Brown & Dark Pink (6 Suits),3,0
Up or Down & Light Pink (6 Suits),3,0
White (6 Suits),2,0
Rainbow & Dark Pink (6 Suits),2,0
Black & Brown (6 Suits),2,0
Up or Down & Omni (6 Suits),2,0
Dark Brown (6 Suits),1,0
Pink (6 Suits),1,0
Rainbow-Ones & Pink (6 Suits),1,0
Throw It in a Hole (6 Suits),1,0
Cocoa Rainbow (6 Suits),1,0
Rainbow & Dark Brown (6 Suits),1,0
Brown & Gray (6 Suits),1,0
Throw It in a Hole & Pink (6 Suits),1,0
