Dark Prism (6 Suits),88,1
Gray (6 Suits),34,1
Dark Rainbow (6 Suits),31,1
Dual-Color & Black (6 Suits),26,1
Dual-Color Mix,18,1
Black (6 Suits),13,1
Dark Pink (6 Suits),12,1
Gray Pink (6 Suits),10,1
Dark Omni (6 Suits),7,1
Ambiguous Mix,5,1
Prism & Dark Pink (6 Suits),5,1
Black & Prism (6 Suits),3,1
Rainbow-Fives & Dark Pink (6 Suits),15,0
Rainbow & Gray (6 Suits),8,0
Black & Rainbow (6 Suits),6,0
Black & White (6 Suits),4,0
Rainbow & Dark Omni (6 Suits),4,0
Black Reversed (6 Suits),3,0
Special Mix (6 Suits),1,0
Dark Brown (6 Suits),1,0
