variant,attempts,won
Rainbow-Ones & Pink (6 Suits),6,1
Black & White (6 Suits),4,1
Rainbow & Light Pink (6 Suits),3,1
Rainbow & Pink (6 Suits),3,1
Ambiguous (6 Suits),2,1
Up or Down & Brown (6 Suits),2,1
Brown & Gray (6 Suits),2,1
Brown & Gray Pink (6 Suits),1,1
Black (6 Suits),1,1
Muddy Rainbow & Prism (6 Suits),1,1
Light Pink (6 Suits),1,1
Brown & Dark Prism (6 Suits),4,0
Dark Pink (6 Suits),3,0
Rainbow-Ones & Rainbow (6 Suits),3,0
Special Mix (6 Suits),2,0
Cocoa Rainbow (6 Suits),2,0
Pink & Omni (6 Suits),2,0
Black & Omni (6 Suits),2,0
Dark Null (6 Suits),2,0
Muddy Rainbow & Dark Prism (6 Suits),2,0
Clue Starved & Pink (6 Suits),2,0
White-Ones & Pink (6 Suits),2,0
Black & Brown (6 Suits),1,0
Extremely Ambiguous (6 Suits),1,0
Up or Down & White (6 Suits),1,0
Pink-Ones & Muddy Rainbow (6 Suits),1,0
Reversed (6 Suits),1,0
Black & Dark Pink (6 Suits),1,0
Brown (6 Suits),1,0
Up or Down & Rainbow (6 Suits),1,0
Rainbow & Null (6 Suits),1,0
