variant,attempts,won
Pink & Dark Rainbow (5 Suits),8,1
Clue Starved & White (5 Suits),6,1
Dark Pink (5 Suits),3,1
Pink & Omni (5 Suits),3,1
Brown & Prism (5 Suits),3,1
Pink-Ones (5 Suits),2,1
No Variant,1,1
Black & Omni (5 Suits),1,1
Rainbow & Muddy Rainbow (5 Suits),1,1
Cocoa Rainbow (5 Suits),1,1
White & Dark Rainbow (5 Suits),10,0
Clue Starved & Prism (5 Suits),8,0
Dark Omni (5 Suits),5,0
Gray Pink (5 Suits),4,0
Gray (5 Suits),3,0
Deceptive-Ones & Cocoa Rainbow (5 Suits),3,0
Rainbow & Dark Brown (5 Suits),2,0
Rainbow & Omni (5 Suits),2,0
White & Dark Omni (5 Suits),2,0
Ambiguous & Pink (5 Suits),2,0
Pink & White (5 Suits),1,0
Black & Null (5 Suits),1,0
Light Pink (5 Suits),1,0
Rainbow (5 Suits),1,0
Black (5 Suits),1,0
Black & Muddy Rainbow (5 Suits),1,0
