variant,attempts,won
Brown & Dark Rainbow (6 Suits),10,1
Dark Pink (6 Suits),7,1
Dark Brown (6 Suits),3,1
Cocoa Rainbow (6 Suits),3,1
Brown-Ones & Gray Pink (6 Suits),2,1
Black & Muddy Rainbow (6 Suits),1,1
Black & Omni (6 Suits),8,0
Dark Omni (6 Suits),6,0
Rainbow & Dark Brown (6 Suits),3,0
Dark Prism (6 Suits),3,0
Rainbow & Dark Null (6 Suits),3,0
Pink & Dark Rainbow (6 Suits),2,0
Dual-Color Mix,1,0
Black & Null (6 Suits),1,0
White & Dark Omni (6 Suits),1,0
White & Dark Pink (6 Suits),1,0
Light Pink & Dark Rainbow (6 Suits),1,0
