Dark Rainbow (6 Suits),4,1
No Variant,3,1
White (6 Suits),2,1
6 Suits,1,1
Pink (5 Suits),1,1
Black (6 Suits),16,0
Black (5 Suits),6,0
4 Suits,3,0
Rainbow (6 Suits),3,0
Rainbow (5 Suits),3,0
Black & White (6 Suits),2,0
Black & Pink (6 Suits),2,0
Totally Blind (6 Suits),2,0
Black & Dark Pink (6 Suits),2,0
Prism (5 Suits),2,0
Black & Omni (5 Suits),2,0
Brown (6 Suits),1,0
Black & White (5 Suits),1,0
3 Suits,1,0
Black & Rainbow (5 Suits),1,0
Clue Starved & White (5 Suits),1,0
Gray Reversed (5 Suits),1,0
Rainbow & Dark Brown (5 Suits),1,0
