variant,attempts,won
Brown-Ones & White (6 Suits),3,1
Light-Pink-Fives & Omni (6 Suits),3,1
Pink & Omni (6 Suits),2,1
Rainbow-Ones & White (6 Suits),2,1
Deceptive-Ones & Brown (6 Suits),2,1
Pink & Brown (6 Suits),1,1
Muddy-Rainbow-Ones & White (6 Suits),1,1
White-Ones & Prism (6 Suits),1,1
Rainbow-Fives & Pink (6 Suits),1,1
Brown-Ones & Muddy Rainbow (6 Suits),1,1
Brown-Ones & Light Pink (6 Suits),1,1
Pink & Muddy Rainbow (6 Suits),2,0
Light Pink & Prism (6 Suits),2,0
Up or Down & Prism (6 Suits),2,0
Null-Fives & Pink (6 Suits),2,0
Omni-Fives & White (6 Suits),2,0
Brown (6 Suits),1,0
Rainbow & Pink (6 Suits),1,0
Rainbow & Brown (6 Suits),1,0
Muddy-Rainbow-Ones & Omni (6 Suits),1,0
Up or Down & Rainbow (6 Suits),1,0
Clue Starved & White (6 Suits),1,0
Clue Starved & Brown (6 Suits),1,0
Muddy-Rainbow-Fives & Light Pink (6 Suits),1,0
