Totally Blind (5 Suits),3,1
White-Ones & Brown (5 Suits),2,1
Pink & Null (5 Suits),2,1
Brown-Ones & Prism (5 Suits),1,1
Brown-Ones & Light Pink (5 Suits),1,1
Up or Down & Omni (5 Suits),1,1
White & Brown (5 Suits),1,1
Brown & Muddy Rainbow (5 Suits),1,1
Rainbow & Omni (5 Suits),1,1
Rainbow-Ones & Brown (5 Suits),1,1
Pink-Ones (5 Suits),2,0
Brown-Fives (5 Suits),2,0
Dual-Color (5 Suits),1,0
Rainbow-Ones & Rainbow (5 Suits),1,0
Prism (5 Suits),1,0
Omni-Fives & Pink (5 Suits),1,0
White & Prism (5 Suits),1,0
White-Ones & White (5 Suits),1,0
Rainbow-Fives & Prism (5 Suits),1,0
White-Fives (5 Suits),1,0
No Variant,1,0
White-Fives & Prism (5 Suits),1,0
